Iteration                Wall_Time                Samples                  Samples_Per_Second       Raw_Env_Test_Return      Test_Episode_Length      Test_Episodes            Raw_Env_Return           Train_Episode_Length     Train_Episodes           Critic_Loss              Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Disc_Loss                Ctx_Loss                 Disc_Grad_Penalty        Disc_Logit_Loss          Disc_Pos_Acc             Disc_Neg_Acc             Disc_Pos_Logit           Disc_Neg_Logit           Ctx_Class_Loss           Ctx_Output_Penalty       Ctx_Logit_Loss           Ctx_Raw_Rms              Ctx_Residual_Rms         Ctx_Correction_Rms       Ctx_Correction_Abs_Max   Ctx_Saturated_Frac       Ctx_Gate_Mean            Ctx_Gate_P95             Ctx_Gate_Active_Frac     Ctx_Final_Neg_Logit      Ctx_Hist_Rms             Ctx_Hist_Rms_Norm        Ctx_Ref_Rms              Ctx_Ref_Rms_Norm         Ctx_Weight_Norm          Adv_Mean                 Adv_Std                  Disc_Reward_Mean         Disc_Reward_Std          Disc_Base_Reward_Mean    Ctx_Reward_Delta_Mean    Ctx_Enabled              Root_Pos_Err             Root_Rot_Err             Body_Pos_Err             Body_Rot_Err             Dof_Vel_Err              Root_Vel_Err             Root_Ang_Vel_Err         Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob
0                        0.0019035470485687257    131072                   19126.865772119832       0.0                      60.0                     4096                     0.0                      0.0                      0                        2513.632080078125        -0.002579345367848873    0.02271423302590847      1.0003273487091064       0.0                      5.014811992645264        0.372998982667923        1.477354645729065        152.70143127441406       0.625                    0.881500244140625        -4.868107498623431e-05   -4.589915752410889       0.372998982667923        0.0                      0.0                      0.0                      0.0                      0.0                      0.0                      0.0                      0.13361574709415436      0.22654612362384796      0.118499755859375        -4.589915752410889       0.4886254072189331       0.4886254072189331       2.4143269062042236       2.4143269062042236       6.656264781951904        75.03518676757812        31.951313018798828       7.989845275878906        3.293225049972534        7.989844799041748        0.0                      0.0                      0.5626721978187561       1.5689274072647095       0.45571044087409973      1.619960904121399        1.729036808013916        0.6217449903488159       1.7764390707015991       0.3405187726020813       0.26744428277015686      1.0
100                      0.06528198646174536      13238272                 56329.440586686804       0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   0.05626188963651657      -0.009617682546377182    0.09801178425550461      0.9997803568840027       0.0                      1.4754889011383057       0.06506230682134628      0.17654334008693695      96.01447296142578        1.0                      1.0                      1.2166516780853271       -2.793886184692383       0.06506230682134628      9.946043294517537e-11    1.2683849526240465e-08   0.00011842025560326874   0.00011842024832731113   7.95200412539998e-06     4.084159809281118e-05    0.0                      0.06253379583358765      0.12004492431879044      0.0                      -2.793890953063965       0.518383800983429        1.2423566579818726       2.4191815853118896       1.4478046894073486       6.656249046325684        0.034937113523483276     0.23945465683937073      0.13904151320457458      0.07215552031993866      0.13904151320457458      0.0                      1.0                      0.5473015308380127       1.589597463607788        0.46174442768096924      1.6677461862564087       1.7003450393676758       0.6330776810646057       1.833322525024414        0.3279523253440857       0.25323018431663513      1.0
200                      0.12910470287005107      26345472                 56684.121522921654       0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   0.11040160804986954      -0.011145147494971752    0.13463440537452698      0.9995166063308716       0.0                      1.0058470964431763       0.10085754096508026      0.11642598360776901      64.18233489990234        1.0                      0.9988174438476562       1.742891788482666        -2.454164505004883       0.10084652155637741      1.1656810784188565e-05   0.0010877938475459814    0.036603331565856934     0.03655499592423439      0.003414002014324069     0.019287442788481712     0.0                      0.09291066974401474      0.23226286470890045      0.00118255615234375      -2.4556939601898193      0.5283194780349731       1.2221430540084839       2.4169812202453613       1.448379397392273        6.651135444641113        0.07509167492389679      0.3365190327167511       0.24607999622821808      0.21795910596847534      0.2466072142124176       -0.0005272193229757249   1.0                      0.545850396156311        1.5371034145355225       0.4468427002429962       1.6331387758255005       1.649498462677002        0.6198515295982361       1.824027419090271        0.3277064859867096       0.25768378376960754      1.0
300                      0.19210870232847002      39452672                 57046.22134617089        0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   0.38278257846832275      -0.00865281280130148     0.1396438628435135       0.999151885509491        0.0                      0.7542120218276978       0.15216681361198425      0.08522676676511765      43.813385009765625       1.0                      0.9624366760253906       1.9055507183074951       -2.153618574142456       0.15211667120456696      6.289574957918376e-05    0.0049509634263813496    0.07532496750354767      0.0748782530426979       0.007930217310786247     0.047964613884687424     0.0                      0.13038481771945953      0.4308922588825226       0.037563323974609375     -2.156515121459961       0.5260486602783203       1.20095956325531         2.4216723442077637       1.4505103826522827       6.646615505218506        0.1027655303478241       0.6348053812980652       0.3877449631690979       0.4226829707622528       0.38868948817253113      -0.0009445323375985026   1.0                      0.51129150390625         1.4554946422576904       0.41547122597694397      1.5170767307281494       1.6079834699630737       0.5942509174346924       1.896743893623352        0.32751426100730896      0.26327523589134216      1.0
400                      0.25351186672846476      52559872                 57590.85218713801        0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   0.6337275505065918       -0.0055116754956543446   0.1370193511247635       0.9995250701904297       0.0                      0.6110131740570068       0.1865314096212387       0.07079487293958664      30.501819610595703       1.0                      0.9418354034423828       1.8829294443130493       -2.0040135383605957      0.18641462922096252      0.00017618126003071666   0.011504748836159706     0.11849657446146011      0.11637307703495026      0.01327027939260006      0.06768085062503815      0.0                      0.15354664623737335      0.540626585483551        0.05816459655761719      -2.008632183074951       0.521076500415802        1.1801222562789917       2.4156315326690674       1.446919560432434        6.642749786376953        0.16789619624614716      0.8155704140663147       0.47675931453704834      0.519722580909729        0.4784916639328003       -0.0017323449719697237   1.0                      0.5320088267326355       1.390101432800293        0.40268078446388245      1.4473859071731567       1.5595723390579224       0.5996124744415283       1.8581745624542236       0.32822686433792114      0.2690967619419098       1.0
500                      0.3139060992002487       65667072                 58109.26700629995        0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   0.7507582902908325       -0.00515706418082118     0.14141693711280823      0.9999041557312012       0.0                      0.5235082507133484       0.20682692527770996      0.06415365636348724      21.482316970825195       1.0                      0.9287853240966797       1.8003793954849243       -1.9121729135513306      0.20661967992782593      0.0003087687073275447    0.020416971296072006     0.1546715497970581       0.1497744619846344       0.017569860443472862     0.09544067829847336      0.0                      0.16805019974708557      0.5720115900039673       0.07121467590332031      -1.919060468673706       0.5082768797874451       1.1455929279327393       2.4155542850494385       1.447509527206421        6.639593601226807        0.03802935406565666      0.8855187296867371       0.5169352889060974       0.537032961845398        0.5199323296546936       -0.002996996743604541    1.0                      0.522888720035553        1.3162449598312378       0.3863605558872223       1.37236487865448         1.4881893396377563       0.5914846658706665       1.8372708559036255       0.3288392424583435       0.27362895011901855      1.0
600                      0.373759310775333        78774272                 58545.00902420423        0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   0.9522196054458618       -0.00340931280516088     0.13918915390968323      0.9997682571411133       0.0                      0.4638700783252716       0.21976903080940247      0.059178825467824936     15.28746223449707        1.0                      0.925567626953125        1.7253923416137695       -1.839404582977295       0.21943779289722443      0.00043791436473838985   0.032685041427612305     0.18533313274383545      0.17729885876178741      0.020925061777234077     0.10832259058952332      0.0                      0.17893637716770172      0.5657366514205933       0.074432373046875        -1.8488304615020752      0.48689669370651245      1.0843793153762817       2.41572642326355         1.4472315311431885       6.63738489151001         0.06993137300014496      0.9964486360549927       0.5442426800727844       0.519192099571228        0.5489816665649414       -0.004739033989608288    1.0                      0.46968767046928406      1.2537094354629517       0.37067317962646484      1.3063024282455444       1.421886920928955        0.5802955627441406       1.8160841464996338       0.32919228076934814      0.2772013545036316       1.0
700                      0.43358721295992536      91881472                 58863.8925416605         0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   1.257551670074463        -0.00979278888553381     0.14558716118335724      0.999664306640625        0.0                      0.42517903447151184      0.22553589940071106      0.05740136653184891      11.035916328430176       1.0                      0.9302482604980469       1.6671398878097534       -1.8016031980514526      0.22506198287010193      0.0005095073138363659    0.04687928035855293      0.20547650754451752      0.19416382908821106      0.022571414709091187     0.11266930401325226      0.0                      0.184812530875206        0.5426470637321472       0.06975173950195312      -1.8112541437149048      0.46610841155052185      1.0400810241699219       2.4185686111450195       1.44745671749115         6.635975360870361        0.0291473139077425       1.1383423805236816       0.5443462133407593       0.4886523485183716       0.5484715104103088       -0.0041252924129366875   1.0                      0.411652147769928        1.1900798082351685       0.3502148985862732       1.2431635856628418       1.387353539466858        0.5763777494430542       1.8182271718978882       0.3293687105178833       0.2808166444301605       1.0
800                      0.4935264625814226       104988672                59092.10997006785        0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   1.0252280235290527       -0.008279497735202312    0.13894043862819672      0.9994117021560669       0.0                      0.4037325978279114       0.23689796030521393      0.05642520636320114      8.107698440551758        1.0                      0.9312000274658203       1.6181567907333374       -1.7405656576156616      0.2362847775220871       0.0007112824823707342    0.06060686334967613      0.21840189397335052      0.20516787469387054      0.026669371873140335     0.13363218307495117      0.0                      0.19423887133598328      0.5354163646697998       0.06879997253417969      -1.7512428760528564      0.45353275537490845      1.0075711011886597       2.4170186519622803       1.4475171566009521       6.63493013381958         0.13310480117797852      1.0308129787445068       0.5611177086830139       0.4832053780555725       0.5660820007324219       -0.004964272025972605    1.0                      0.3732435405254364       1.1087706089019775       0.3273178040981293       1.1707229614257812       1.3758108615875244       0.557618260383606        1.843941330909729        0.3293812572956085       0.2831369936466217       1.0
900                      0.5537599656979243       118095872                59239.40140299646        0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   0.8744230270385742       -0.0050543565303087234   0.1431533843278885       0.99952232837677         0.0                      0.39432448148727417      0.2512630522251129       0.05544010549783707      6.082307815551758        1.0                      0.9276409149169922       1.55459463596344         -1.6720281839370728      0.2504477798938751       0.0011670723324641585    0.08035849779844284      0.23831908404827118      0.22317852079868317      0.03416178748011589      0.21864911913871765      0.0                      0.2052794247865677       0.5357736349105835       0.07235908508300781      -1.6851609945297241      0.44665905833244324      0.9715668559074402       2.413789987564087        1.4474437236785889       6.635538578033447        0.07285994291305542      0.9462847709655762       0.595848798751831        0.49182701110839844      0.6016765832901001       -0.005827791057527065    1.0                      0.36572355031967163      1.0561095476150513       0.312177449464798        1.1234272718429565       1.3518933057785034       0.5543916821479797       1.853821873664856        0.3293812572956085       0.2831369936466217       1.0
