Iteration                Wall_Time                Samples                  Samples_Per_Second       Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Disc_Loss                Disc_Grad_Penalty        Disc_Logit_Loss          Disc_Pos_Acc             Disc_Neg_Acc             Disc_Pos_Logit           Disc_Neg_Logit           Adv_Mean                 Adv_Std                  Disc_Reward_Mean         Disc_Reward_Std          Disc_Base_Reward_Mean    Disc_Base_Reward_Std     Disc_P_Reward_Mean       Disc_P_Reward_Std        Disc_Prog_Reward_Mean    Disc_Prog_Reward_Std     Disc_Abs_Reward_Mean     Disc_Abs_Reward_Std      Disc_Energy_Mean         Disc_Energy_Std          Disc_Energy_P95          Disc_Energy_Max          Disc_Abs_Root_Mean       Disc_Abs_Root_Std        Disc_E_Root_Pos          Disc_E_Root_Rot          Disc_E_Joint_Rot         Disc_E_Body_Pos          Disc_E_Root_Vel          Disc_E_Root_Ang          Disc_E_Dof_Vel           Disc_Flow_Prog_Mean      Disc_Flow_F_Abs          Disc_Flow_Prog_Abs       Disc_Flow_Circ_Abs       Disc_Flow_Circ_Ratio     Disc_Flow_Prog_R_Delta   Disc_Flow_Abs_R_Delta    Disc_Flow_Circ_R_Delta   Disc_Flow_R_Circ_Ratio   Disc_Reward_Clip_Frac    Disc_Flow_Rev_Gap        Disc_Flow_Shuffle_Gap    Disc_Flow_Norm           Disc_Flow_S_Norm         Disc_Flow_A_Norm         Root_Pos_Err             Root_Rot_Err             Body_Pos_Err             Body_Rot_Err             Dof_Vel_Err              Root_Vel_Err             Root_Ang_Vel_Err         Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
0                        0.004669838415251838     131072                   7796.605717657451        0.0                      300.0                    4096                     0.0                      0.0                      0                        0.16235686838626862      -0.0020428518764674664   0.01808624342083931      1.0005143880844116       0.0                      4.936166286468506        1.4432082176208496       152.73348999023438       0.65625                  0.8882923126220703       0.0004344852641224861    -4.33203125              0.4465915560722351       0.1991540491580963       0.04339972883462906      0.04115228354930878      0.06398207694292068      0.008582720533013344     -0.020582349970936775    0.04089478403329849      -0.0024562969338148832   0.037110064178705215     -0.018126051872968674    0.007908455096185207     0.8510308265686035       0.3875902593135834       1.5576579570770264       2.717823028564453        -0.001289675827138126    0.0016235982766374946    0.009211970493197441     0.039192043244838715     0.008576899766921997     0.006621229462325573     0.06171560287475586      0.37114208936691284      0.35457098484039307      -0.02448618970811367     3.905730962753296        0.24155205488204956      0.0                      0.0                      0.024155206978321075     0.018124468624591827     0.0                      0.0                      0.0                      1.5751738548278809       0.0                      13.877676010131836       0.18693697452545166      0.0                      2.143778085708618        1.7000986337661743       0.5025156736373901       1.782502293586731        1.6901952028274536       0.5589779615402222       1.714821696281433        0.3403887152671814       0.2672063410282135       1.0                      
100                      0.06898311197757721      13238272                 53307.21784446423        0.0                      300.0                    4096                     0.0                      300.0                    40960                    0.10028162598609924      -0.004866787698119879    0.08426666259765625      1.0001765489578247       0.0                      1.4630812406539917       0.1698591709136963       96.1751480102539         1.0                      1.0                      1.2046864032745361       -2.831352949142456       -0.04401317238807678     0.35374945402145386      -0.2690940201282501      0.050997525453567505     -0.2133544385433197      0.03420756384730339      -0.05573958158493042     0.03339342400431633      -0.0003183741064276546   0.027008159086108208     -0.05542120337486267     0.015434454195201397     1.0111628770828247       0.3330129086971283       1.6058741807937622       2.494734525680542        -0.041064269840717316    0.01521102711558342      0.2933162450790405       0.037932537496089935     0.006512896157801151     0.007323530502617359     0.048635393381118774     0.3190459609031677       0.29839640855789185      -0.01289299689233303     2.755690097808838        0.1885608732700348       0.02069847099483013      0.09891299903392792      0.01885608769953251      0.05562508478760719      0.0019530223216861486    0.025551680475473404     0.0                      0.2032054364681244       0.032895028591156006     8.267423629760742        0.18693697452545166      0.17372210323810577      2.186502695083618        1.6801652908325195       0.4965803921222687       1.7650573253631592       1.6226623058319092       0.5475850701332092       1.7318179607391357       0.3347156047821045       0.22585995495319366      1.0                      
200                      0.13322592867745295      26345472                 54930.648555540465       0.0                      300.0                    4096                     0.0                      300.0                    40960                    0.06012928485870361      -0.006022030487656593    0.09529876708984375      0.9998739361763          0.0                      0.9929900169372559       0.1114875003695488       64.30938720703125        1.0                      1.0                      1.7239115238189697       -2.4674301147460938      0.016578849405050278     0.27218565344810486      -0.22893434762954712     0.05723574385046959      -0.1727333962917328      0.04142468422651291      -0.05620095133781433     0.03332265093922615      -0.00036444421857595444  0.026368990540504456     -0.0558365061879158      0.016392268240451813     1.0065125226974487       0.331054151058197        1.588460087776184        2.4890105724334717       -0.04165729880332947     0.016170967370271683     0.2975521385669708       0.038379471749067307     0.0051636891439557076    0.007205107249319553     0.048734962940216064     0.3222399652004242       0.28723716735839844      0.00030552269890904427   2.3030405044555664       0.19178858399391174      0.0244132112711668       0.11291862279176712      0.019178859889507294     0.055363673716783524     0.0022179274819791317    0.02889413572847843      0.0                      0.21988050639629364      0.03502007946372032      8.250242233276367        0.18693697452545166      0.13617217540740967      2.1789939403533936       1.6385339498519897       0.491031676530838        1.7416387796401978       1.5737725496292114       0.5527119040489197       1.730868935585022        0.33583009243011475      0.22974665462970734      1.0                      
300                      0.19678008384174772      39452672                 55691.99555971803        0.0                      300.0                    4096                     0.0                      300.0                    40960                    0.049318887293338776     -0.008078394457697868    0.10915832966566086      0.9993314146995544       0.0                      0.7443974614143372       0.08498469740152359      44.05927276611328        1.0                      0.9998970031738281       1.900225281715393        -2.1252284049987793      0.026194218546152115     0.23949289321899414      -0.19258204102516174     0.06250210851430893      -0.13974891602993011     0.04548702761530876      -0.05283312499523163     0.03270230069756508      -0.0003646182012744248   0.025719713419675827     -0.05246850848197937     0.0162083450704813       0.968897819519043        0.3315272033214569       1.5525169372558594       2.346215009689331        -0.03860564902424812     0.015933362767100334     0.2757546305656433       0.03934837877750397      0.0037395041435956955    0.007084240205585957     0.049250125885009766     0.32724010944366455      0.26648080348968506      0.003952959552407265     1.9105634689331055       0.18370190262794495      0.034706585109233856     0.1589067429304123       0.018370190635323524     0.05264027416706085      0.0030043567530810833    0.0405912809073925       0.0                      0.2527531683444977       0.041925035417079926     8.258267402648926        0.18693697452545166      0.11500144004821777      2.0945258140563965       1.58841872215271         0.4768502116203308       1.7115938663482666       1.476386308670044        0.5562232732772827       1.7933162450790405       0.33690688014030457      0.23466412723064423      1.0                      
400                      0.2586329925060272       52559872                 56450.51044330396        0.0                      300.0                    4096                     0.0                      300.0                    40960                    0.04641803354024887      -0.005653792060911655    0.1120758056640625       1.0000791549682617       0.0                      0.5942838191986084       0.07161229103803635      30.869556427001953       1.0                      0.9997138977050781       1.9021904468536377       -1.9791545867919922      0.052202384918928146     0.22081828117370605      -0.16870738565921783     0.058608412742614746     -0.1285266876220703      0.0436272919178009       -0.04018070921301842     0.030612047761678696     -0.0002740596537478268   0.024438733235001564     -0.03990664705634117     0.01453425269573927      0.8677613735198975       0.3243972361087799       1.4454237222671509       2.2956626415252686       -0.026309993118047714    0.014532415196299553     0.18792852759361267      0.038791999220848083     0.0029261051677167416    0.006742787081748247     0.04901273548603058      0.3324417769908905       0.24991747736930847      0.0026464792899787426    1.7643885612487793       0.17633327841758728      0.04331893101334572      0.1972159892320633       0.01763332635164261      0.03959124535322189      0.0036776824854314327    0.06038663163781166      0.0                      0.25803548097610474      0.05078352242708206      8.30630874633789         0.18693697452545166      0.1009349673986435       1.5938209295272827       1.568347454071045        0.4635853171348572       1.6531850099563599       1.3882454633712769       0.5491154789924622       1.7962398529052734       0.33759748935699463      0.24081285297870636      1.0                      
500                      0.3190604532427258       65667072                 57170.524105839504       0.0                      300.0                    4096                     0.0                      300.0                    40960                    0.04465503245592117      -0.009314663708209991    0.12626495957374573      0.9998316168785095       0.0                      0.5092119574546814       0.06745089590549469      21.913475036621094       1.0                      0.9996585845947266       1.834376573562622        -1.871807336807251       0.03753890469670296      0.21297304332256317      -0.1458858847618103      0.061868298798799515     -0.11915892362594604     0.04758596792817116      -0.026726972311735153    0.029080763459205627     -0.0002611618547234684   0.024212177842855453     -0.02646581083536148     0.01151029672473669      0.7649874687194824       0.33243557810783386      1.3475358486175537       2.206043004989624        -0.013027073815464973    0.010925156995654106     0.0930505320429802       0.03708679974079132      0.002522651571780443     0.006370555143803358     0.05058757960796356      0.3388967514038086       0.23647260665893555      -0.00794744398444891     1.665816068649292        0.1783725917339325       0.046699635684490204     0.2074873149394989       0.01783725991845131      0.02666235715150833      0.0038694185204803944    0.07999782264232635      0.0                      0.28474998474121094      0.05273620784282684      8.524314880371094        0.18693697452545166      0.09141995012760162      1.0490891933441162       1.531829595565796        0.4501497149467468       1.5970104932785034       1.3259090185165405       0.5690414309501648       1.843978762626648        0.337145060300827        0.24807311594486237      1.0                      
600                      0.37948936687575446      78774272                 57661.01538593661        0.0                      300.0                    4096                     0.0                      300.0                    40960                    0.03708140552043915      -0.004700879566371441    0.11431274563074112      0.9996311068534851       0.0                      0.4516716003417969       0.0654541552066803       15.673158645629883       1.0                      0.9996414184570312       1.7791155576705933       -1.8151472806930542      0.02550540864467621      0.1945853978395462       -0.1357186883687973      0.06291236728429794      -0.11635209619998932     0.04908313229680061      -0.019366594031453133    0.02779768966138363      -7.37084264983423e-05    0.023763485252857208     -0.019292885437607765    0.009199547581374645     0.7023053765296936       0.33575645089149475      1.2675294876098633       2.257507085800171        -0.006121242418885231    0.007445387076586485     0.04372315853834152      0.03553908318281174      0.002216748893260956     0.006147673353552818     0.05129998177289963      0.33695188164711         0.2264268398284912       0.0009787199087440968    1.6041322946548462       0.17226272821426392      0.05014578253030777      0.2254670113325119       0.01722627319395542      0.01929481327533722      0.004096393473446369     0.10085295140743256      0.00048828125            0.2840326130390167       0.055790554732084274     8.57803726196289         0.18693697452545166      0.08442377299070358      0.7741588950157166       1.4952548742294312       0.442070871591568        1.5571650266647339       1.2953063249588013       0.5838712453842163       1.8709102869033813       0.33638691902160645      0.25605082511901855      1.0                      
700                      0.44000124335289004      91881472                 58005.815885027936       0.0                      300.0                    4096                     0.0                      300.0                    40960                    0.04857119172811508      -0.00752143282443285     0.11732635647058487      0.9998289346694946       0.0                      0.4097450077533722       0.06353575736284256      11.300335884094238       1.0                      0.9997024536132812       1.738152027130127        -1.798630952835083       0.011016812175512314     0.22439375519752502      -0.13830453157424927     0.06722024083137512      -0.11795397847890854     0.053150031715631485     -0.020350554957985878    0.02829539217054844      -0.00017037724319379777  0.023950031027197838     -0.020180176943540573    0.010040250606834888     0.69426429271698         0.3328632414340973       1.2568166255950928       2.5796456336975098       -0.007344040088355541    0.00865041371434927      0.052457429468631744     0.03401323780417442      0.0019981239456683397    0.006099026650190353     0.05198485404253006      0.3305512070655823       0.2171603888273239       0.002119251526892185     1.6491119861602783       0.16847535967826843      0.04960844665765762      0.22747422754764557      0.016847535967826843     0.020139649510383606     0.0040296828374266624    0.09824449568986893      0.00048828125            0.28261494636535645      0.05492730811238289      8.691715240478516        0.18693697452545166      0.07954659312963486      0.7929231524467468       1.4495841264724731       0.4345288872718811       1.5098967552185059       1.2378984689712524       0.5807103514671326       1.8065903186798096       0.335789293050766        0.2633379101753235       1.0                      
800                      0.5004852513472239       104988672                58270.488334065          0.0                      300.0                    4096                     0.0                      300.0                    40960                    0.07690572738647461      -0.002471646061167121    0.11033020168542862      0.9998075366020203       0.0                      0.38641542196273804      0.062376469373703        8.229018211364746        1.0                      0.9995803833007812       1.6836612224578857       -1.7705583572387695      0.007652610074728727     0.27940428256988525      -0.1385137438774109      0.07483842968940735      -0.11701434850692749     0.06127379089593887      -0.021499404683709145    0.028040895238518715     -4.207343590678647e-05   0.023049943149089813     -0.021457329392433167    0.011576680466532707     0.6767454743385315       0.3345474302768707       1.238542914390564        2.697967290878296        -0.009242826141417027    0.010830356739461422     0.0660201832652092       0.03417723625898361      0.001842500758357346     0.006158655975013971     0.051122792065143585     0.3128879964351654       0.2045360505580902       0.006960459519177675     1.5944106578826904       0.15656128525733948      0.047126222401857376     0.23136529326438904      0.015656128525733948     0.021528154611587524     0.0037684240378439426    0.09201889485120773      0.001953125              0.27531418204307556      0.05311305820941925      8.536623001098633        0.18693697452545166      0.07630361616611481      0.8647865056991577       1.4006953239440918       0.4201321005821228       1.4194951057434082       1.1737228631973267       0.5741416811943054       1.7308952808380127       0.3356723487377167       0.2670871615409851       1.0                      
900                      0.5610293883747525       118095872                58471.81906801722        0.0                      300.0                    4096                     0.0                      300.0                    40960                    0.07615248113870621      0.0025819928850978613    0.09796600788831711      0.9996326565742493       0.0                      0.3696458637714386       0.06151273846626282      6.063128471374512        1.0                      0.9994430541992188       1.6363935470581055       -1.7447572946548462      0.014596554450690746     0.2790900468826294       -0.13901419937610626     0.07449178397655487      -0.11734237521886826     0.06118406355381012      -0.021671822294592857    0.02757001668214798      1.989639895327855e-05    0.022580530494451523     -0.02169172093272209     0.01155645027756691      0.662696123123169        0.33082714676856995      1.225529432296753        2.2920212745666504       -0.0098440982401371      0.010833270847797394     0.07031498849391937      0.03419381007552147      0.0018108806107193232    0.006153123453259468     0.04976648837327957      0.30438458919525146      0.19607223570346832      0.0014803782105445862    1.6159727573394775       0.15903879702091217      0.04256471246480942      0.2111307978630066       0.015903878957033157     0.02135535329580307      0.0034219941589981318    0.08411725610494614      0.000732421875           0.2651747763156891       0.04821223393082619      8.489706993103027        0.18693697452545166      0.07509682327508926      0.9141872525215149       1.3990038633346558       0.4179536998271942       1.4085476398468018       1.1394321918487549       0.5652243494987488       1.6975804567337036       0.3356723487377167       0.2670871615409851       1.0                      
