Iteration                Wall_Time                Samples                  Samples_Per_Second       Resume_Count             Peak_GPU_Memory_MB       Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Critic_Grad_Norm         Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Actor_Grad_Norm          Policy_Kl                Action_Mean_Update_Rms   Action_Mean_Bound_Frac   Actor_First_Layer_Grad_NormDisc_Loss                Disc_Grad_Penalty        Disc_Logit_Loss          Disc_Pos_Acc             Disc_Neg_Acc             Disc_Pos_Logit           Disc_Neg_Logit           Metric_Weight_Min        Metric_Weight_Max        Metric_Weight_Std        Disc_Param_Grad_Norm     Adv_Mean                 Adv_Std                  Disc_Reward_Mean         Disc_Reward_Std          Root_Pos_Err             Root_Rot_Err             Body_Pos_Err             Body_Rot_Err             Dof_Vel_Err              Root_Vel_Err             Root_Ang_Vel_Err         Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
0                        0.0023614221811294554    131072                   15418.203987342371       0                        2478.24755859375         0.0                      10.732327461242676       4300                     0.0                      10.799610137939453       10225                    4.536637783050537        12.406303405761719       -0.0049416860565543175   0.07800445705652237      1.0003215074539185       0.0                      4.190437316894531        0.00832271482795477      0.0012190996203571558    0.0                      0.6806663274765015       6.913059234619141        2.389291524887085        174.51087951660156       0.9375                   0.9934558868408203       0.007216880097985268     -2.971949338912964       0.9959563612937927       1.002453088760376        0.0009851685026660562    15.486897468566895       1.8281190395355225       1.724515676498413        0.45095309615135193      0.6525490283966064       0.1538620889186859       0.2903585433959961       0.16153666377067566      0.7180299758911133       2.095674753189087        0.6060478687286377       1.333149790763855        0.3838110566139221       0.24470637738704681      1.0                      
100                      0.12973927484618292      13238272                 28583.458262071566       0                        2510.75537109375         0.0                      13.59619140625           4096                     0.0                      12.257407188415527       1067169                  0.05129867419600487      0.2835812270641327       -0.008268161676824093    0.11257018893957138      1.0000649690628052       0.0                      5.616419792175293        0.008860809728503227     0.0012578923488035798    0.0                      0.9584148526191711       1.6780792474746704       0.2380140870809555       105.81904602050781       1.0                      0.9999923706054688       1.7154312133789062       -2.2523691654205322      0.988228440284729        1.0113154649734497       0.003515564603731036     0.4480806589126587       -0.0005436125793494284   0.2291336953639984       0.2954460382461548       0.18277809023857117      0.1420467644929886       0.16613173484802246      0.12195324897766113      0.5091490745544434       1.7030447721481323       0.500657320022583        0.9756863117218018       0.3761565387248993       0.23884767293930054      1.0                      
200                      0.25773586908976237      26345472                 28445.273947474656       0                        2511.44287109375         0.0                      38.54902648925781        4661                     0.0                      17.827978134155273       731126                   0.7095673680305481       1.0983591079711914       -0.005842368118464947    0.121429443359375        0.999164879322052        0.0                      7.149975776672363        0.008657943457365036     0.0012434086529538035    0.0                      1.660306692123413        1.1421571969985962       0.1456066370010376       69.88968658447266        1.0                      0.9952564239501953       1.792687177658081        -2.202239513397217       0.9842496514320374       1.0137853622436523       0.004373566713184118     0.32214945554733276      0.031464848667383194     0.8489382863044739       0.3176547884941101       0.265663743019104        0.4019711911678314       0.2627701759338379       0.11539541929960251      0.43070104718208313      1.6083950996398926       0.6449061036109924       0.8879201412200928       0.3702421486377716       0.2464480996131897       1.0                      
300                      0.3845378687646654       39452672                 28713.249694531467       0                        2511.44287109375         0.0                      57.92716598510742        4105                     0.0                      46.39599609375           279963                   2.6870055198669434       5.40728759765625         -0.012313689105212688    0.1294097900390625       0.9999553561210632       0.0                      7.440361022949219        0.008943699300289154     0.0012637607287615538    0.0                      1.7405736446380615       0.868651270866394        0.10545478016138077      47.307621002197266       1.0                      0.9950428009033203       1.6483979225158691       -1.7616100311279297      0.9831987619400024       1.0153889656066895       0.00503950472921133      0.25367555022239685      0.1191205233335495       1.644437313079834        0.43334224820137024      0.21711528301239014      0.4300394654273987       0.10716332495212555      0.06034310534596443      0.2272568643093109       1.3688610792160034       0.4738708436489105       0.6272435784339905       0.36480244994163513      0.2589828073978424       1.0                      
400                      0.5109844997194078       52559872                 28793.948163237263       0                        2511.44287109375         0.0                      58.105865478515625       4109                     0.0                      57.432373046875          226092                   2.911341667175293        20.118921279907227       -0.01965475082397461     0.12188263237476349      1.0006420612335205       2.0240287668116252e-08   6.834957122802734        0.010905904695391655     0.001395524013787508     1.743861685099546e-05    1.7849035263061523       0.7061633467674255       0.08527696877717972      32.67526626586914        1.0                      0.9978179931640625       1.4851133823394775       -1.5957529544830322      0.9818827509880066       1.018136978149414        0.005818021949380636     0.22097855806350708      -0.04900970682501793     1.726026177406311        0.4809707701206207       0.1921246200799942       0.16672173142433167      0.09108472615480423      0.05915718153119087      0.21295909583568573      1.190584659576416        0.305106520652771        0.559862494468689        0.360983669757843        0.26806238293647766      1.0                      
500                      0.6368747482034895       65667072                 28921.209476177144       0                        2511.44287109375         0.0                      58.06245422363281        4099                     0.0                      57.91419982910156        224138                   1.6848214864730835       11.209431648254395       -0.019658302888274193    0.09806976467370987      0.9999958872795105       2.1508263614578027e-07   6.078329086303711        0.007860747165977955     0.0011847824789583683    3.487723370199092e-05    2.1884372234344482       0.6217114925384521       0.07578433305025101      22.943971633911133       1.0                      0.9990959167480469       1.3254212141036987       -1.3840019702911377      0.9801273345947266       1.0214364528656006       0.006831998471170664     0.1964150369167328       0.0380127914249897       1.3040205240249634       0.5547846555709839       0.2056216299533844       0.11012977361679077      0.07578705251216888      0.04566271975636482      0.17153342068195343      1.1236023902893066       0.28690579533576965      0.5236320495605469       0.35861968994140625      0.27350103855133057      1.0                      
600                      0.7615047090583378       78774272                 29213.671168660025       0                        2511.44287109375         0.0                      58.08802795410156        4101                     0.0                      57.95845031738281        224003                   2.063110589981079        26.999483108520508       -0.024070313200354576    0.0958251953125          1.0003355741500854       5.575576324190479e-06    5.496800899505615        0.008589678443968296     0.001238497206941247     0.00021798271336592734   1.6990455389022827       0.5604363083839417       0.07013855874538422      16.31748390197754        1.0                      0.9995822906494141       1.2442046403884888       -1.31174898147583        0.9782763719558716       1.0253220796585083       0.008046802133321762     0.17140889167785645      0.018028177320957184     1.435794711112976        0.5642340183258057       0.2065419703722          0.10359890013933182      0.05995817482471466      0.038882721215486526     0.15034182369709015      1.072307825088501        0.27352580428123474      0.4893275201320648       0.3574739098548889       0.2778981924057007       1.0                      
700                      0.885778067972925        91881472                 29297.733818488086       0                        2512.50537109375         0.0                      58.14229965209961        4097                     0.0                      58.0035285949707         223870                   1.6583271026611328       22.219127655029297       -0.02273271232843399     0.10582885891199112      0.9998103380203247       3.2899126381380484e-05   5.772494316101074        0.009571397677063942     0.001307356753386557     0.0011073522036895156    2.37601900100708         0.5189457535743713       0.06675045192241669      11.735292434692383       1.0                      0.9997940063476562       1.190986156463623        -1.2715497016906738      0.9763111472129822       1.0302664041519165       0.009424258954823017     0.1492406278848648       0.0019516577012836933    1.2971316576004028       0.5744397044181824       0.20842625200748444      0.0948990061879158       0.04831930622458458      0.03135982155799866      0.12336040288209915      1.0059219598770142       0.25928136706352234      0.4782893657684326       0.35682910680770874      0.2815254330635071       1.0                      
800                      1.0099654661946826       104988672                29317.78106750526        0                        2512.50537109375         0.0                      57.96564483642578        4104                     0.0                      58.05369186401367        223708                   0.9350612759590149       20.182100296020508       -0.013450520113110542    0.13444367051124573      0.9997507929801941       7.149154407670721e-05    8.081886291503906        0.009047400206327438     0.0012710678856819868    0.0020839148201048374    2.9949169158935547       0.49402958154678345      0.06505187600851059      8.537339210510254        1.0                      0.9998970031738281       1.1532734632492065       -1.2226004600524902      0.9742348790168762       1.035232663154602        0.010941649787127972     0.1272001713514328       0.0480971559882164       0.9717051982879639       0.5914088487625122       0.21268798410892487      0.08765029162168503      0.04609113931655884      0.02873760275542736      0.11123618483543396      0.9640306830406189       0.249555304646492        0.47047990560531616      0.35666194558143616      0.2835562825202942       1.0                      
900                      1.1338325953483581       118095872                29393.583386316477       0                        2512.50537109375         0.0                      58.23652648925781        4101                     0.0                      58.076271057128906       223680                   1.2196128368377686       30.434831619262695       -0.018973609432578087    0.12347564846277237      1.0000916719436646       5.194012192077935e-05    6.824368953704834        0.008625670336186886     0.0012410886120051146    0.0019967216067016125    3.2308828830718994       0.48172497749328613      0.06373082101345062      6.2794623374938965       1.0                      0.9998760223388672       1.1022015810012817       -1.1656266450881958      0.9721100330352783       1.0408105850219727       0.01259833388030529      0.11352166533470154      0.027848921716213226     1.1031535863876343       0.6106493473052979       0.2144649624824524       0.08447504788637161      0.04529793933033943      0.027101632207632065     0.10549430549144745      0.9168701171875          0.2363860160112381       0.4526098966598511       0.35666194558143616      0.2835562825202942       1.0                      
