Iteration                Wall_Time                Samples                  Samples_Per_Second       Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Disc_Loss                Disc_Grad_Penalty        Disc_Logit_Loss          Disc_Pos_Acc             Disc_Neg_Acc             Disc_Pos_Logit           Disc_Neg_Logit           Adv_Mean                 Adv_Std                  Disc_Reward_Mean         Disc_Reward_Std          Root_Pos_Err             Root_Rot_Err             Body_Pos_Err             Body_Rot_Err             Dof_Vel_Err              Root_Vel_Err             Root_Ang_Vel_Err         Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
0                        0.0020982358190748426    131072                   17352.14343302096        0.0                      12.47897720336914        7063                     0.0                      12.75961971282959        7771                     1245.0162353515625       -0.003125801682472229    0.03226165845990181      1.0002943277359009       0.0                      4.93791389465332         1.443238615989685        152.70736694335938       0.65625                  0.8941707611083984       0.0006278555374592543    -4.882228851318359       46.17625427246094        25.667776107788086       8.519195556640625        3.5451815128326416       0.21347582340240479      0.726227879524231        0.26045122742652893      0.8695273399353027       1.946517825126648        0.6692980527877808       1.8689204454421997       0.3767704665660858       0.29535111784935         1.0                      
100                      0.07102734227975209      13238272                 51772.98853861342        0.0                      16.901779174804688       6058                     0.0                      16.413997650146484       796068                   0.061650123447179794     -0.008717401884496212    0.08992767333984375      0.9996083378791809       0.0                      1.4910516738891602       0.18009956181049347      96.17723083496094        1.0                      1.0                      1.1881473064422607       -2.8223352432250977      -0.0031384385656565428   0.2501228451728821       0.16919799149036407      0.13543547689914703      0.17703188955783844      0.6648953557014465       0.2354227751493454       0.7921032309532166       1.6145217418670654       0.563421905040741        1.579304575920105        0.3676527738571167       0.2745738923549652       1.0                      
200                      0.13933186968167624      26345472                 52523.42255498416        0.0                      20.25946617126465        5573                     0.0                      19.404260635375977       673081                   0.3067026436328888       -0.012991941533982754    0.10626678913831711      0.9996030926704407       0.0                      1.0417189598083496       0.12471070885658264      63.71580505371094        1.0                      0.9862651824951172       1.6388208866119385       -2.4838156700134277      0.009814910590648651     0.5561565160751343       0.3330828547477722       0.3609837591648102       0.16645747423171997      0.5710370540618896       0.2021361142396927       0.695056676864624        1.352351188659668        0.5003449320793152       1.3524662256240845       0.36327311396598816      0.27214375138282776      1.0                      
300                      0.20951915714475844      39452672                 52305.840214810734       0.0                      25.996885299682617       5136                     0.0                      23.8597469329834         546822                   0.720899224281311        -0.006968269590288401    0.11913299560546875      0.9998348355293274       0.0                      0.7794952392578125       0.08728290349245071      43.21586608886719        1.0                      0.9559516906738281       1.7171891927719116       -2.2404370307922363      -0.012731943279504776    0.8519458770751953       0.3964918553829193       0.44373130798339844      0.22818633913993835      0.5218141078948975       0.190474271774292        0.6757137179374695       1.1930392980575562       0.5036744475364685       1.2462407350540161       0.35822564363479614      0.2745639383792877       1.0                      
400                      0.28042592697673374      52559872                 52063.53279044619        0.0                      34.22214889526367        7288                     0.0                      30.21095085144043        431109                   1.1556202173233032       -0.006179682444781065    0.12527619302272797      0.9998252987861633       0.0                      0.6230440735816956       0.0706896036863327       30.056652069091797       1.0                      0.9600772857666016       1.6763262748718262       -2.077169179916382       0.0583336278796196       1.0806576013565063       0.39775606989860535      0.38251426815986633      0.2908051311969757       0.4268741309642792       0.1574227213859558       0.555125892162323        1.1471794843673706       0.4706069827079773       1.1656783819198608       0.3534789979457855       0.27832576632499695      1.0                      
500                      0.3549548617998759       65667072                 51389.219578058786       0.0                      84.96990966796875        11219                    0.0                      47.31624984741211        273192                   4.805080890655518        -0.0032165669836103916   0.11431732028722763      0.9998882412910461       0.0                      0.5258524417877197       0.06406475603580475      21.241682052612305       1.0                      0.9773120880126953       1.639519453048706        -1.960263967514038       0.07732369005680084      2.203906774520874        0.4007473587989807       0.32946187257766724      0.3657253682613373       0.2971303164958954       0.11412409693002701      0.39391234517097473      1.245495080947876        0.45130592584609985      1.06402587890625         0.3503154218196869       0.28350552916526794      1.0                      
600                      0.4280335907803641       78774272                 51121.553760135495       0.0                      257.7167663574219        4212                     0.0                      120.04650115966797       104453                   8.390517234802246        -0.016108809038996696    0.1021728515625          1.0000427961349487       1.7539145247269516e-08   0.46512845158576965      0.06069508567452431      15.21971607208252        1.0                      0.9876136779785156       1.6055055856704712       -1.851783275604248       0.15857887268066406      2.866194009780884        0.42390382289886475      0.33867618441581726      0.2716636657714844       0.25122615694999695      0.09763439744710922      0.32012587785720825      1.2809524536132812       0.41246166825294495      1.0187907218933105       0.3477499783039093       0.2883622348308563       1.0                      
700                      0.5012011033958859       91881472                 50922.93480238299        0.0                      274.1944885253906        4134                     0.0                      249.64768981933594       50035                    2.77059268951416         -0.01659274846315384     0.10850372165441513      0.9996346831321716       9.274212402488047e-07    0.43938061594963074      0.05948815867304802      11.04868221282959        1.0                      0.9809532165527344       1.5282829999923706       -1.7387019395828247      0.058368079364299774     1.6612945795059204       0.5039649605751038       0.39975833892822266      0.12225723266601562      0.2084657847881317       0.08195728063583374      0.27354440093040466      1.197743535041809        0.4035179615020752       0.9641813039779663       0.34577399492263794      0.29174667596817017      1.0                      
800                      0.5717729741334915       104988672                51005.4187926539         0.0                      278.87786865234375       4119                     0.0                      267.68426513671875       46478                    1.3552916049957275       -0.006624389439821243    0.10875397175550461      0.9999063611030579       1.1476201507321093e-05   0.4252260625362396       0.05843416973948479      8.133654594421387        1.0                      0.9776287078857422       1.4493579864501953       -1.6410115957260132      0.01378879975527525      1.198972463607788        0.5349708199501038       0.40919360518455505      0.12868183851242065      0.18172326683998108      0.07234393805265427      0.24289609491825104      1.1375094652175903       0.40823429822921753      0.9154513478279114       0.344829797744751        0.2933233380317688       1.0                      
900                      0.6388320793708165       118095872                51350.59736073028        0.0                      279.88299560546875       4111                     0.0                      271.40234375             45734                    1.1160025596618652       -0.010671323165297508    0.12089691311120987      1.0003423690795898       6.032816145307152e-06    0.4218997359275818       0.058324072510004044     6.07766056060791         1.0                      0.9806728363037109       1.3624573945999146       -1.5359611511230469      0.07286049425601959      1.0701183080673218       0.5580400824546814       0.3975752294063568       0.1253475397825241       0.16067437827587128      0.06496075540781021      0.21940626204013824      1.0891129970550537       0.40635305643081665      0.8829367160797119       0.344829797744751        0.2933233380317688       1.0                      
