Iteration                Wall_Time                Samples                  Samples_Per_Second       Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Disc_Loss                Disc_Grad_Penalty        Disc_Logit_Loss          Disc_Aux_Loss            Disc_Pos_Acc             Disc_Neg_Acc             Disc_Pos_Logit           Disc_Neg_Logit           Disc_State_Neg_Logit     Disc_Motion_Neg_Logit    Disc_Rot_Neg_Logit       Disc_Rot_Pos_Logit       Disc_Rot_Neg_Acc         Disc_Rot_Pos_Acc         Adv_Mean                 Adv_Std                  Disc_Reward_Mean         Disc_Reward_Std          Root_Pos_Err             Root_Rot_Err             Body_Pos_Err             Body_Rot_Err             Dof_Vel_Err              Root_Vel_Err             Root_Ang_Vel_Err         Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
0                        0.0023109170463350083    65536                    7877.584560344009        0.0                      17.367504119873047       4068                     0.0                      17.146303176879883       2652                     480.0903015136719        -0.004005019087344408    0.047637939453125        1.0001845359802246       0.0                      4.875372886657715        0.4371878504753113       262.30859375             1.8440734148025513       0.625                    0.88568115234375         0.0006225316319614649    -5.119582653045654       -14.626222610473633      -0.7837387919425964      0.051213912665843964     0.0005338870687410235    0.5022087097167969       0.59375                  27.634254455566406       15.318121910095215       4.0228142738342285       1.4411567449569702       0.25843700766563416      0.9341192841529846       0.29378387331962585      1.2710298299789429       2.6223742961883545       0.6631754636764526       2.027661085128784        0.3792652189731598       0.303065687417984        1.0                      
100                      0.05975167711575826      6619136                  30771.502619530384       0.0                      23.312580108642578       5349                     0.0                      20.817716598510742       313514                   0.041030269116163254     -0.010245115496218204    0.128204345703125        0.9991933107376099       0.0                      2.6056926250457764       0.10744258016347885      185.30023193359375       0.7106762528419495       1.0                      1.0                      0.9909420013427734       -3.8245458602905273      -5.186770915985107       -5.13883638381958        -1.14802885055542        0.7052345871925354       0.7423210144042969       1.0                      0.0015207418473437428    0.20408929884433746      0.12778057157993317      0.16035519540309906      0.24499565362930298      0.824512243270874        0.25911641120910645      1.121864914894104        2.371979236602783        0.550577700138092        1.7243907451629639       0.37072840332984924      0.2884635329246521       1.0                      
200                      0.11561850448449452      13172736                 31647.9905154287         0.0                      26.123310089111328       3098                     0.0                      26.757911682128906       243762                   0.15839122235774994      -0.009875967167317867    0.1537017822265625       0.9998075366020203       0.0                      1.9830312728881836       0.10011319816112518      131.75624084472656       0.6463705897331238       1.0                      0.9993476867675781       1.4468475580215454       -3.744722604751587       -5.311257839202881       -5.1228742599487305      -0.8000333309173584      0.8622499108314514       0.6028861999511719       1.0                      -0.007944194599986076    0.3999803960323334       0.19301733374595642      0.24644094705581665      0.2656676769256592       0.522657573223114        0.19177640974521637      0.7417582869529724       2.0667083263397217       0.5144327878952026       1.3217929601669312       0.3673117756843567       0.29328063130378723      1.0                      
300                      0.17230650193161434      19726336                 31801.108584704          0.0                      29.413066864013672       2312                     0.0                      28.269699096679688       230729                   0.37032556533813477      -0.010003496892750263    0.16782532632350922      0.9994900822639465       0.0                      1.593063235282898        0.09559694677591324      93.96231842041016        0.6536580324172974       1.0                      0.9961585998535156       1.6439673900604248       -3.5052292346954346      -5.130702018737793       -4.760279655456543       -0.6247063279151917      0.7445020079612732       0.55450439453125         1.0                      -0.0017794515006244183   0.6103353500366211       0.23436594009399414      0.2750948369503021       0.24245359003543854      0.3141999840736389       0.1342308223247528       0.4804357588291168       1.751427173614502        0.45045188069343567      1.0557080507278442       0.367727667093277        0.30606216192245483      1.0                      
400                      0.26591239194075267      26279936                 27452.583796277966       0.0                      33.053504943847656       2467                     0.0                      32.05851364135742        203288                   0.599164605140686        -0.0056679099798202515   0.18178711831569672      0.9999006390571594       0.0                      1.315589189529419        0.09028550237417221      67.39937591552734        0.6545279622077942       1.0                      0.9943656921386719       1.753115177154541        -3.317246198654175       -4.873572826385498       -4.467899322509766       -0.610266387462616       0.6450470685958862       0.5658798217773438       1.0                      0.006858134642243385     0.7761655449867249       0.24686262011528015      0.2843692898750305       0.22902652621269226      0.291908323764801        0.12076189368963242      0.43136781454086304      1.6211724281311035       0.38206443190574646      0.9823407530784607       0.36885201930999756      0.3174460232257843       1.0                      
500                      0.40147103170553844      32833536                 22717.521181842338       0.0                      34.097862243652344       2391                     0.0                      34.893531799316406       186712                   0.5493395328521729       -0.004493319429457188    0.19621582329273224      0.9997496604919434       2.8388316763994226e-07   1.122743844985962        0.0877765491604805       48.73655319213867        0.652623176574707        1.0                      0.9926834106445312       1.8216657638549805       -3.218013048171997       -4.674653053283691       -4.333251476287842       -0.6461347341537476      0.594995379447937        0.5923614501953125       1.0                      -0.0010144710540771484   0.7426131963729858       0.2578703761100769       0.2957555651664734       0.2168048769235611       0.27513012290000916      0.11439509689807892      0.39992275834083557      1.5491211414337158       0.3647203743457794       0.9439278244972229       0.3694905936717987       0.32594090700149536      1.0                      
600                      0.5384871294101079       39387136                 20317.79501043306        0.0                      34.451358795166016       2601                     0.0                      35.626102447509766       182848                   0.5512973666191101       -0.003539909841492772    0.20217590034008026      0.9997820258140564       9.703720849074671e-08    0.9987847805023193       0.08689437061548233      35.616817474365234       0.6631314754486084       1.0                      0.9910926818847656       1.8543007373809814       -3.1457138061523438      -4.53670072555542        -4.256338119506836       -0.6441010236740112      0.560049295425415        0.6014518737792969       1.0                      0.0017746472731232643    0.7443407773971558       0.2849932909011841       0.3165801465511322       0.21052977442741394      0.2425972819328308       0.10631292313337326      0.36542800068855286      1.5056079626083374       0.35927480459213257      0.8879361748695374       0.36993899941444397      0.3324327766895294       1.0                      
700                      0.675702220665084        45940736                 18886.005055592057       0.0                      35.418617248535156       2900                     0.0                      36.4927978515625         178504                   0.5976008772850037       -0.003144824178889394    0.21326600015163422      0.9998525977134705       5.368926281335007e-08    0.9149414896965027       0.08666248619556427      26.384578704833984       0.6751425266265869       1.0                      0.9913558959960938       1.8596227169036865       -3.1260170936584473      -4.480422019958496       -4.275238990783691       -0.6223915219306946      0.5228961110115051       0.6019668579101562       1.0                      0.004341070540249348     0.7743122577667236       0.29167991876602173      0.31776556372642517      0.20393073558807373      0.21726582944393158      0.10134302824735641      0.33902281522750854      1.4854060411453247       0.3487848937511444       0.8553935885429382       0.37036535143852234      0.3376944661140442       1.0                      
800                      0.8136565828323364       52494336                 17921.270850216602       0.0                      37.08982849121094        3028                     0.0                      37.96388626098633        171507                   0.5608090162277222       -0.005392178427428007    0.21196289360523224      1.00004243850708         1.5243230677697284e-07   0.8563469648361206       0.08599191904067993      19.865554809570312       0.6857521533966064       1.0                      0.9915390014648438       1.8555917739868164       -3.0935962200164795      -4.41190767288208        -4.276175022125244       -0.5927062630653381      0.49061521887779236      0.6005287170410156       1.0                      0.011740176938474178     0.7510578036308289       0.29725539684295654      0.31582406163215637      0.19480344653129578      0.20326191186904907      0.09698494523763657      0.32371723651885986      1.4553449153900146       0.34191200137138367      0.8433199524879456       0.3707139492034912       0.3421596884727478       1.0                      
900                      0.9517237338092592       59047936                 17234.207640062607       0.0                      38.044002532958984       2841                     0.0                      39.2647590637207         165763                   0.4803483486175537       -0.004706714302301407    0.21528930962085724      0.999783456325531        3.941571264931554e-07    0.8097715377807617       0.08484748005867004      15.248652458190918       0.6891899108886719       1.0                      0.9934959411621094       1.8547182083129883       -3.087264060974121       -4.389708042144775       -4.293673038482666       -0.5784093737602234      0.46811816096305847      0.6037178039550781       1.0                      0.01331583596765995      0.6981081366539001       0.2902873754501343       0.30477750301361084      0.18469707667827606      0.18051037192344666      0.0904858261346817       0.3024924695491791       1.416965365409851        0.34443894028663635      0.7820406556129456       0.3709612786769867       0.34587839245796204      1.0                      
999                      1.096432110203637        65536000                 16603.348511075063       0.0                      94.88117980957031        4778                     0.0                      43.32735824584961        147859                   1.122527003288269        0.00037346151657402515   0.24937133491039276      0.9995521903038025       1.1197850653843489e-05   0.7352666258811951       0.07681189477443695      11.984893798828125       0.6600085496902466       1.0                      0.9951095581054688       1.8699240684509277       -3.272270917892456       -4.523499965667725       -4.648616313934326       -0.6446954011917114      0.4596724212169647       0.681396484375           1.0                      -0.0016578491777181625   1.0653502941131592       0.20822395384311676      0.2487414926290512       0.25882115960121155      0.16593720018863678      0.07569236308336258      0.26452407240867615      1.3574116230010986       0.3348928391933441       0.7131258249282837       0.3710091710090637       0.34903112053871155      1.0                      
