Iteration                Wall_Time                Samples                  Samples_Per_Second       Resume_Count             Peak_GPU_Memory_MB       Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Critic_Grad_Norm         Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Actor_Grad_Norm          Policy_Kl                Action_Mean_Update_Rms   Action_Mean_Bound_Frac   Actor_First_Layer_Grad_NormDisc_Loss                Disc_Grad_Penalty        Disc_Logit_Loss          Disc_Pos_Acc             Disc_Neg_Acc             Disc_Pos_Logit           Disc_Neg_Logit           Metric_Weight_Min        Metric_Weight_Max        Metric_Weight_Std        Disc_Param_Grad_Norm     Adv_Mean                 Adv_Std                  Disc_Reward_Mean         Disc_Reward_Std          Root_Pos_Err             Root_Rot_Err             Body_Pos_Err             Body_Rot_Err             Dof_Vel_Err              Root_Vel_Err             Root_Ang_Vel_Err         Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
0                        0.002272623446252611     131072                   16020.642992539952       0                        2477.86474609375         0.0                      10.715980529785156       4299                     0.0                      10.799610137939453       10225                    791.15869140625          904.2133178710938        -0.003957451321184635    0.03716735914349556      1.0008313655853271       0.0                      3.3910012245178223       0.007150343153625727     0.0011299783363938332    0.0                      0.554661750793457        6.5162811279296875       2.2368662357330322       152.52565002441406       0.6875                   0.9081707000732422       0.0018382454290986061    -4.161724090576172       0.9992824196815491       1.000218391418457        0.0001626556331757456    17.8964900970459         38.05754852294922        20.14759635925293        8.212692260742188        3.538597345352173        0.1533757746219635       0.2898637652397156       0.16135059297084808      0.717473566532135        2.095581293106079        0.6058335304260254       1.3325135707855225       0.3838110566139221       0.24470637738704681      1.0                      
100                      0.12905490590466392      13238272                 28717.71795804252        0                        2509.61474609375         0.0                      13.34512996673584        4097                     0.0                      12.15468978881836        1076269                  0.05598694831132889      0.2495090365409851       -0.010265356861054897    0.11340942233800888      0.99965900182724         0.0                      5.291174411773682        0.009247913025319576     0.0012850741622969508    0.0                      1.0334339141845703       1.5148746967315674       0.21181964874267578      91.91571807861328        1.0                      1.0                      1.3805811405181885       -2.264986038208008       0.9973203539848328       1.0026215314865112       0.0008960848790593445    0.44756025075912476      -0.009038656949996948    0.23842786252498627      0.28793805837631226      0.17252971231937408      0.14170749485492706      0.16595737636089325      0.12166398018598557      0.507481575012207        1.7038428783416748       0.5069270730018616       0.9679871797561646       0.3766123652458191       0.23856478929519653      1.0                      
200                      0.25667083005110425      26345472                 28530.127875159462       0                        2509.61474609375         0.0                      40.28413391113281        4512                     0.0                      17.52838897705078        743234                   0.7429672479629517       1.1190060377120972       -0.005592207424342632    0.12642060220241547      0.9994252324104309       0.0                      7.323054790496826        0.01003175973892212      0.0013384284684434533    0.0                      1.6946115493774414       1.0270042419433594       0.13148555159568787      60.70553207397461        1.0                      0.9970436096191406       1.6943511962890625       -2.2319676876068115      0.996376633644104        1.0033291578292847       0.0011429896112531424    0.30303484201431274      0.0361323356628418       0.8691594004631042       0.29916107654571533      0.25156891345977783      0.3994762897491455       0.2569257915019989       0.11672165989875793      0.4211733937263489       1.6209584474563599       0.6327531933784485       0.8508419990539551       0.3710320293903351       0.24639540910720825      1.0                      
300                      0.38285422444343564      39452672                 28854.027027494118       0                        2509.61474609375         0.0                      57.989288330078125       4107                     0.0                      47.98818588256836        270639                   2.710611343383789        6.33690071105957         -0.011101453565061092    0.11051177978515625      0.9996001124382019       0.0                      6.8842597007751465       0.008921394124627113     0.0012621850473806262    0.0                      1.759377121925354        0.7956066131591797       0.09851228445768356      41.18492126464844        1.0                      0.995513916015625        1.6401249170303345       -1.7393195629119873      0.9955611824989319       1.0043182373046875       0.0014019011287018657    0.21809515357017517      0.2063765823841095       1.6508867740631104       0.44266530871391296      0.2125047743320465       0.3674854040145874       0.1027369350194931       0.060495972633361816     0.22833295166492462      1.3596251010894775       0.4388962388038635       0.6124275922775269       0.3650755286216736       0.25954946875572205      1.0                      
400                      0.508716368675232        52559872                 28927.672415828558       0                        2509.61474609375         0.0                      57.77804946899414        4109                     0.0                      57.49909210205078        225825                   3.7958428859710693       32.17375183105469        -0.021718300879001617    0.10390777885913849      0.9996986389160156       0.0                      6.245285987854004        0.008003214374184608     0.0011954708024859428    0.0                      2.1629133224487305       0.655592143535614        0.08039803802967072      28.580730438232422       1.0                      0.9977302551269531       1.4880614280700684       -1.5895506143569946      0.9948508739471436       1.0054311752319336       0.001735439756885171     0.18273402750492096      0.5297597646713257       1.9638843536376953       0.4847964644432068       0.19127871096134186      0.2142559438943863       0.10381316393613815      0.06482069194316864      0.2209911048412323       1.2057322263717651       0.2912581264972687       0.5756332874298096       0.3610589802265167       0.2688996195793152       1.0                      
500                      0.6322287737660938       65667072                 29478.003115480176       0                        2509.61474609375         0.0                      57.93247604370117        4102                     0.0                      57.95246887207031        223992                   2.6404058933258057       21.93136978149414        -0.02909817360341549     0.08302917331457138      1.000156283378601        1.0132399808071568e-07   4.895741939544678        0.007278566248714924     0.0011400661896914244    8.71930842549773e-06     1.5622575283050537       0.5899773240089417       0.07304786890745163      20.192296981811523       1.0                      0.99908447265625         1.3258717060089111       -1.3719574213027954      0.994193434715271        1.0069115161895752       0.0021430104970932007    0.1592632234096527       0.03679744154214859      1.6318553686141968       0.5616593956947327       0.20829430222511292      0.11275891959667206      0.07459940761327744      0.04639182612299919      0.1733623594045639       1.115295648574829        0.2830018103122711       0.5398470759391785       0.3585985004901886       0.27430593967437744      1.0                      
600                      0.7558353418774075       78774272                 29455.54659950908        0                        2509.61474609375         0.0                      58.06796646118164        4105                     0.0                      57.98889923095703        223889                   1.5617808103561401       13.941232681274414       -0.02413840964436531     0.10117035359144211      0.9998531341552734       7.25195195627748e-06     5.610554218292236        0.00731950718909502      0.0011432669125497341    0.00041852681897580624   2.21000075340271         0.5409230589866638       0.06855949014425278      14.453463554382324       1.0                      0.9994983673095703       1.2427942752838135       -1.2937917709350586      0.9935557246208191       1.0085632801055908       0.0026169612538069487    0.1361621916294098       0.005966941360384226     1.2509685754776          0.575719952583313        0.21092571318149567      0.0932467132806778       0.05999371409416199      0.03874701261520386      0.15108154714107513      1.0583831071853638       0.2591106593608856       0.49346697330474854      0.3570583164691925       0.27866941690444946      1.0                      
700                      0.879456741478708        91881472                 29452.014897990026       0                        2509.61474609375         0.0                      58.0940055847168         4106                     0.0                      58.0395622253418         223758                   1.0892901420593262       22.344995498657227       -0.013694304041564465    0.12035522609949112      0.9997092485427856       4.153658665018156e-05    7.287034511566162        0.00844939798116684      0.0012283421820029616    0.0017613002564758062    3.1264822483062744       0.5061832070350647       0.06587019562721252      10.462639808654785       1.0                      0.9996623992919922       1.1924256086349487       -1.256800651550293       0.9929083585739136       1.0103152990341187       0.0031388411298394203    0.11818237602710724      0.03031584806740284      1.0464500188827515       0.5829979181289673       0.21376527845859528      0.08850497752428055      0.05024620145559311      0.03184785693883896      0.12650547921657562      1.005027174949646        0.2566080391407013       0.48217740654945374      0.3566928207874298       0.2824001908302307       1.0                      
800                      1.0012692448827956       104988672                29889.46678302661        0                        2509.80224609375         0.0                      57.766178131103516       4110                     0.0                      58.036598205566406       223841                   0.9262646436691284       18.292448043823242       -0.016370300203561783    0.12390899658203125      1.0003613233566284       6.528408266603947e-05    7.104925632476807        0.009450609795749187     0.001299081020988524     0.0028163366951048374    2.277255058288574        0.48647111654281616      0.06461399793624878      7.662296295166016        1.0                      0.9997806549072266       1.1545833349227905       -1.2065945863723755      0.9922541975975037       1.0121222734451294       0.0036988246720284224    0.10207854956388474      0.025496773421764374     0.9655685424804688       0.6033939123153687       0.21737371385097504      0.0846249908208847       0.04909592121839523      0.029507126659154892     0.11489415913820267      0.9509118795394897       0.2442285716533661       0.4787212610244751       0.35652950406074524      0.28445470333099365      1.0                      
900                      1.1224207904603747       118095872                30052.439856268607       0                        2509.80224609375         0.0                      58.048484802246094       4104                     0.0                      58.10243606567383        223657                   0.9682385325431824       28.99986457824707        -0.015678150579333305    0.11122284084558487      0.999657154083252        3.880415533785708e-05    7.054555416107178        0.008686770685017109     0.0012454777024686337    0.0024501257576048374    3.283900737762451        0.4765540361404419       0.06353208422660828      5.6775736808776855       1.0                      0.9998893737792969       1.1067246198654175       -1.1558053493499756      0.9915983080863953       1.0140442848205566       0.004297291859984398     0.09063538163900375      0.007103899493813515     0.989592432975769        0.6178581714630127       0.21978847682476044      0.08424114435911179      0.04539712518453598      0.02716565504670143      0.10557223111391068      0.9101840257644653       0.23605376482009888      0.45936524868011475      0.35652950406074524      0.28445470333099365      1.0                      
