Iteration                Wall_Time                Samples                  Samples_Per_Second       Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Disc_Loss                Disc_Grad_Penalty        Disc_Logit_Loss          Disc_Aux_Loss            Disc_Pos_Acc             Disc_Neg_Acc             Disc_Pos_Logit           Disc_Neg_Logit           Disc_State_Neg_Logit     Disc_Motion_Neg_Logit    Disc_Rot_Neg_Logit       Disc_Rot_Pos_Logit       Disc_Rot_Neg_Acc         Disc_Rot_Pos_Acc         Disc_Anchor              Disc_D_State             Disc_D_Motion            Disc_D_Rot               Disc_W_State             Disc_W_Motion            Disc_W_Rot               Adv_Mean                 Adv_Std                  Disc_Reward_Mean         Disc_Reward_Std          Root_Pos_Err             Root_Rot_Err             Body_Pos_Err             Body_Rot_Err             Dof_Vel_Err              Root_Vel_Err             Root_Ang_Vel_Err         Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
0                        0.001434926324420505     65536                    12686.675360699308       0.0                      60.0                     2048                     0.0                      0.0                      0                        61.2614860534668         -0.003897165646776557    0.03941040113568306      1.000643014907837        0.0                      1.6939036846160889       0.3428207039833069       0.927600622177124        1.3043147325515747       0.78125                  0.9911384582519531       1.0875828266143799       -1.1720128059387207      -2.4835402965545654      -0.4929998219013214      -0.5394980907440186      -0.004871876910328865    0.9306907653808594       0.53125                  1.0875828266143799       5.240509510040283        1.003650426864624        0.5346261858940125       0.333333283662796        0.333333283662796        0.333333283662796        9.966285705566406        4.211860179901123        1.0357259511947632       0.2128089964389801       0.5653478503227234       1.5632219314575195       0.4543340504169464       1.6176115274429321       1.7275524139404297       0.6188419461250305       1.7758725881576538       0.3407522439956665       0.26749688386917114      1.0                      
100                      0.04704865223831601      6619136                  39079.73558042773        0.0                      60.0                     2048                     0.0                      59.999996185302734       108544                   0.003945155069231987     -0.010840740986168385    0.107574462890625        1.0004686117172241       0.0                      0.2071901261806488       0.041051365435123444     0.7494891285896301       0.226656973361969        1.0                      1.0                      5.685829162597656        -5.341456413269043       -9.072449684143066       -5.519534111022949       -1.4323830604553223      1.6984901428222656       0.9139480590820312       1.0                      5.685829162597656        18.064197540283203       11.886784553527832       3.130873680114746        0.333333283662796        0.333333283662796        0.333333283662796        -0.019424868747591972    0.06169235333800316      0.01100260391831398      0.006561983376741409     0.5551071763038635       1.617072582244873        0.4655954837799072       1.6860342025756836       1.7894638776779175       0.6319993138313293       1.8458160161972046       0.3295920193195343       0.25260087847709656      1.0                      
200                      0.09244024336338043      13172736                 39583.33730201816        0.0                      60.0                     2048                     0.0                      59.999996185302734       108544                   0.0015162446070462465    -0.009267493151128292    0.11963196098804474      1.0002104043960571       0.0                      0.2013649046421051       0.04013090580701828      0.745823085308075        0.2220587581396103       1.0                      1.0                      6.043731689453125        -5.915122032165527       -9.364581108093262       -6.9463276863098145      -1.4344558715820312      1.7642920017242432       0.9094924926757812       1.0                      6.043732166290283        18.50853157043457        14.169278144836426       3.1987483501434326       0.333333283662796        0.333333283662796        0.333333283662796        -0.006586827337741852    0.03865847364068031      0.005906969308853149     0.0029578281100839376    0.564342737197876        1.6331396102905273       0.4710629880428314       1.7241339683532715       1.9012556076049805       0.6583036780357361       1.9582868814468384       0.3298681378364563       0.2582187354564667       1.0                      
300                      0.13794613427586025      19726336                 39722.300349642086       0.0                      60.0                     2048                     0.0                      59.999996185302734       108544                   0.0009895038092508912    -0.009657629765570164    0.128875732421875        1.0001718997955322       0.0                      0.19813916087150574      0.03770735114812851      0.7172675728797913       0.2264866679906845       1.0                      1.0                      6.094646453857422        -6.111554145812988       -9.370498657226562       -7.501931190490723       -1.4622297286987305      1.7460330724716187       0.8976287841796875       1.0                      6.094646453857422        18.381908416748047       15.028430938720703       3.2082631587982178       0.333333283662796        0.333333283662796        0.333333283662796        -0.00030422123381868005  0.03150400146842003      0.00497653242200613      0.0024954851251095533    0.5845980048179626       1.6358855962753296       0.4731691777706146       1.7313735485076904       2.0225977897644043       0.7006704807281494       2.063767194747925        0.330077588558197        0.2646412253379822       1.0                      
400                      0.18351217163933647      26279936                 39779.28088916717        0.0                      60.0                     2048                     0.0                      59.999996185302734       108544                   0.0008390358416363597    -0.009203477762639523    0.13776245713233948      0.9994290471076965       0.0                      0.20150433480739594      0.0374954491853714       0.6888402700424194       0.23480305075645447      1.0                      1.0                      6.09055757522583         -6.1978559494018555      -9.315718650817871       -7.816974639892578       -1.4608763456344604      1.7196266651153564       0.8834762573242188       1.0                      6.09055757522583         18.148935317993164       15.535804748535156       3.1805028915405273       0.333333283662796        0.333333283662796        0.333333283662796        0.0008958660182543099    0.02898254245519638      0.004608497954905033     0.0023939297534525394    0.5974071025848389       1.6207813024520874       0.47400370240211487      1.726203441619873        2.1544411182403564       0.7403916120529175       2.1798179149627686       0.3301026523113251       0.2720773220062256       1.0                      
500                      0.22898375703228843      32833536                 39830.01582675848        0.0                      60.0                     2048                     0.0                      59.999996185302734       108544                   0.0007562447572126985    -0.009337459690868855    0.15075378119945526      1.000118613243103        0.0                      0.2002500593662262       0.035364557057619095     0.6672129034996033       0.24134327471256256      1.0                      1.0                      6.073905944824219        -6.262185096740723       -9.278034210205078       -8.035961151123047       -1.4725568294525146      1.6507627964019775       0.8758087158203125       1.0                      6.073905944824219        17.963764190673828       15.921187400817871       3.1233198642730713       0.333333283662796        0.333333283662796        0.333333283662796        0.001623378717340529     0.027478497475385666     0.004374685697257519     0.0022640859242528677    0.634016752243042        1.6594406366348267       0.4751308560371399       1.775954246520996        2.277282238006592        0.7869145274162292       2.3777060508728027       0.33007362484931946      0.27976760268211365      1.0                      
600                      0.2744080440865623       39387136                 39870.81044774257        0.0                      60.0                     2048                     0.0                      59.999996185302734       108544                   0.000741447031032294     -0.009490353055298328    0.15195007622241974      0.999750554561615        0.0                      0.2056872397661209       0.03442705422639847      0.6512042880058289       0.2563491761684418       1.0                      1.0                      6.088371276855469        -6.282682418823242       -9.248737335205078       -8.191792488098145       -1.407518982887268       1.6211830377578735       0.8559112548828125       1.0                      6.088371276855469        17.809255599975586       16.27520179748535        3.0287015438079834       0.333333283662796        0.333333283662796        0.333333283662796        0.0018711662851274014    0.027191651985049248     0.004327184055000544     0.002274720696732402     0.608614444732666        1.6551235914230347       0.47447437047958374      1.7835055589675903       2.385119915008545        0.7979437708854675       2.4611215591430664       0.33016514778137207      0.28742995858192444      1.0                      
700                      0.31989937629964615      45940736                 39891.65500467301        0.0                      60.0                     2048                     0.0                      59.999996185302734       108544                   0.0006658609490841627    -0.00910270307213068     0.169708251953125        0.9992198348045349       0.0                      0.20577114820480347      0.03375694900751114      0.6384729146957397       0.2594927251338959       1.0                      1.0                      6.086006164550781        -6.308228969573975       -9.238418579101562       -8.264870643615723       -1.4213958978652954      1.5847527980804443       0.8525886535644531       1.0                      6.086006164550781        17.68829345703125        16.488258361816406       3.00614857673645         0.333333283662796        0.333333283662796        0.333333283662796        0.0021399343386292458    0.02574453502893448      0.004241823218762875     0.002231024904176593     0.5866231322288513       1.6158969402313232       0.46600332856178284      1.7597218751907349       2.4935598373413086       0.7877956032752991       2.494502305984497        0.33028164505958557      0.29478269815444946      1.0                      
800                      0.36527664376629726      52494336                 39919.771079941704       0.0                      60.0                     2048                     0.0                      59.999996185302734       108544                   0.0005951384082436562    -0.009950700215995312    0.1717071533203125       1.0006601810455322       0.0                      0.2080823928117752       0.032846443355083466     0.6318191885948181       0.26780733466148376      1.0                      1.0                      6.0261030197143555       -6.336428642272949       -9.259197235107422       -8.360855102539062       -1.3892358541488647      1.5318973064422607       0.8471450805664062       1.0                      6.026103973388672        17.638071060180664       16.528396606445312       2.921133279800415        0.333333283662796        0.333333283662796        0.333333283662796        0.0018754721386358142    0.024349169805645943     0.004097738303244114     0.002104908926412463     0.5871403813362122       1.5871145725250244       0.4605890214443207       1.7458205223083496       2.587935209274292        0.7911882400512695       2.501770257949829        0.33041349053382874      0.3017984628677368       1.0                      
900                      0.4106784308618969       59047936                 39939.28877643           0.0                      60.0                     2048                     0.0                      59.999996185302734       108544                   0.0005332040600478649    -0.010053224861621857    0.18317566812038422      0.9994234442710876       1.6943403347013941e-09   0.2134024053812027       0.03432850539684296      0.6298962235450745       0.27255141735076904      1.0                      1.0                      5.987053394317627        -6.38387393951416        -9.302647590637207       -8.474613189697266       -1.3743619918823242      1.4982750415802002       0.8415908813476562       1.0                      5.987053394317627        17.639453887939453       16.600692749023438       2.8726370334625244       0.333333283662796        0.333333283662796        0.333333283662796        0.0010588509030640125    0.023090891540050507     0.003915070556104183     0.001983992289751768     0.5910503268241882       1.5618705749511719       0.455409973859787        1.7220567464828491       2.657210350036621        0.7867608666419983       2.5318491458892822       0.3305761516094208       0.308312326669693        1.0                      
