Iteration                Wall_Time                Samples                  Samples_Per_Second       Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Disc_Loss                Disc_Grad_Penalty        Disc_Logit_Loss          Disc_Pos_Acc             Disc_Neg_Acc             Disc_Pos_Logit           Disc_Neg_Logit           Disc_State_Rms           Disc_State_Rms_Norm      Disc_Level1_Rms          Disc_Level1_Rms_Norm     Disc_Norm_Min_Scale_Frac Adv_Mean                 Adv_Std                  Disc_Reward_Mean         Disc_Reward_Std          Root_Pos_Err             Root_Rot_Err             Body_Pos_Err             Body_Rot_Err             Dof_Vel_Err              Root_Vel_Err             Root_Ang_Vel_Err         Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
0                        0.001900821328163147     131072                   19154.293120265287       0.0                      60.0                     4096                     0.0                      0.0                      0                        17.220422744750977       -0.003358196234330535    0.03137054666876793      1.0001537799835205       0.0                      5.07451868057251         1.5177491903305054       165.07691955566406       0.9375                   0.9898281097412109       0.009365993551909924     -3.1042120456695557      1.2777312994003296       1.2777312994003296       0.4885609745979309       0.4885609745979309       0.0                      4.356528282165527        2.6989896297454834       0.4328455626964569       0.6122031807899475       0.5630976557731628       1.5683534145355225       0.4556247889995575       1.6192755699157715       1.7287806272506714       0.622019350528717        1.7764750719070435       0.3405187726020813       0.26744428277015686      1.0                      
100                      0.086621403031879        13238272                 42452.530772613245       0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   0.09332069754600525      -0.014979890547692776    0.11197815090417862      0.9993595480918884       0.0                      1.610132098197937        0.23967741429805756      102.96541595458984       1.0                      1.0                      2.0104994773864746       -2.6848485469818115      1.2191346883773804       1.1075210571289062       0.5039675831794739       1.1705211400985718       0.13106797635555267      0.12088952213525772      0.30600985884666443      0.181089848279953        0.1266041100025177       0.565158486366272        1.5499144792556763       0.4484868347644806       1.6052495241165161       1.6569983959197998       0.6148240566253662       1.7876131534576416       0.32952407002449036      0.25168952345848083      1.0                      
200                      0.1818347105052736       26345472                 40246.36795874253        0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   0.2943808436393738       -0.013724385760724545    0.12919311225414276      0.9995940327644348       0.0                      1.0490572452545166       0.1236376166343689       68.098876953125          1.0                      0.9780902862548828       2.126563787460327        -2.3324220180511475      1.1417756080627441       1.0348970890045166       0.4765157997608185       1.086622714996338        0.13106797635555267      0.08705099672079086      0.5556344985961914       0.34413042664527893      0.3716534972190857       0.5638024806976318       1.4454076290130615       0.42483893036842346      1.5148297548294067       1.5607725381851196       0.5990066528320312       1.7961822748184204       0.3300946056842804       0.2547658681869507       1.0                      
300                      0.2431628057691786       39452672                 45068.880994729174       0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   0.49975380301475525      -0.003074763109907508    0.12958374619483948      0.9990859031677246       0.0                      0.7881689667701721       0.09014356881380081      46.48905944824219        1.0                      0.953216552734375        1.9892433881759644       -2.2229831218719482      1.1029325723648071       1.0127887725830078       0.462069034576416        1.0793019533157349       0.13106797635555267      0.17729762196540833      0.7333184480667114       0.4215106666088104       0.49962249398231506      0.5170056819915771       1.3820655345916748       0.4059728980064392       1.4274964332580566       1.5082725286483765       0.6009541153907776       1.8317960500717163       0.33048227429389954      0.25993838906288147      1.0                      
400                      0.30470472567611273      52559872                 47915.12311483985        0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   0.8086898326873779       -0.0035364117939025164   0.15156249701976776      0.9994786381721497       0.0                      0.6246529221534729       0.07118266820907593      32.20915603637695        1.0                      0.9423351287841797       1.8737863302230835       -2.1478207111358643      1.070949673652649        0.983385443687439        0.4388200342655182       1.0698221921920776       0.13106797635555267      0.10582958906888962      0.9274067878723145       0.45651599764823914      0.5142732858657837       0.49859121441841125      1.2797162532806396       0.3781198263168335       1.3174877166748047       1.4957480430603027       0.5893699526786804       1.7615489959716797       0.33036330342292786      0.2665883004665375       1.0                      
500                      0.3641706532239914       65667072                 50088.75144619049        0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   0.9494636654853821       -0.010225261561572552    0.14678649604320526      0.9998283386230469       0.0                      0.5254884958267212       0.062027785927057266     22.6191349029541         1.0                      0.9342670440673828       1.7904491424560547       -2.066258430480957       1.0435535907745361       0.9501813650131226       0.4195273220539093       1.044500470161438        0.13106797635555267      0.10953553766012192      0.9900722503662109       0.5006841421127319       0.5115137100219727       0.46054157614707947      1.2110968828201294       0.3572928011417389       1.2603693008422852       1.4413423538208008       0.5571067333221436       1.7494646310806274       0.3297690451145172       0.2730546295642853       1.0                      
600                      0.4235534528228972       78774272                 51662.292153174254       0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   1.1687880754470825       -0.010114455595612526    0.14450989663600922      0.9998249411582947       0.0                      0.46349552273750305      0.057587072253227234     16.128137588500977       1.0                      0.9332695007324219       1.712960124015808        -1.9993644952774048      1.0145113468170166       0.9273679256439209       0.40584829449653625      0.9965953230857849       0.13106797635555267      0.14315566420555115      1.1055243015289307       0.5211105346679688       0.5017989277839661       0.44104576110839844      1.1278657913208008       0.3394106924533844       1.2001551389694214       1.3793258666992188       0.5270594358444214       1.7232351303100586       0.32971060276031494      0.2783559560775757       1.0                      
700                      0.48303724500868056      91881472                 52837.8119386062         0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   2.0617706775665283       -0.008558737114071846    0.15299224853515625      0.9998936057090759       0.0                      0.4245106279850006       0.05493425577878952      11.679997444152832       1.0                      0.9367942810058594       1.645420789718628        -1.933677315711975       0.993726372718811        0.9092127084732056       0.3908543586730957       0.9809718728065491       0.13106797635555267      0.2126632034778595       1.5028574466705322       0.5384750962257385       0.48863884806632996      0.4129594564437866       0.9068036079406738       0.2747982442378998       0.9729231595993042       1.3431141376495361       0.5034855008125305       1.6765732765197754       0.32990723848342896      0.282894492149353        1.0                      
800                      0.5423896500799391       104988672                53768.577618879324       0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   2.2290008068084717       -0.007945303805172443    0.15041962265968323      0.9994911551475525       0.0                      0.4165213704109192       0.055213119834661484     8.568211555480957        1.0                      0.9520664215087891       1.4960412979125977       -1.79263436794281        0.9598180651664734       0.8266832828521729       0.3665659725666046       0.9320288896560669       0.13106797635555267      0.1246410459280014       1.53813636302948         0.5700380802154541       0.44508570432662964      0.3557399809360504       0.5567615032196045       0.17631955444812775      0.6178063154220581       1.265336513519287        0.43606483936309814      1.5056484937667847       0.33009305596351624      0.2858789265155792       1.0                      
900                      0.6015325671434403       118095872                54534.717953294814       0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   1.467707872390747        -0.010972830466926098    0.14350128173828125      0.9996928572654724       0.0                      0.41813817620277405      0.055325284600257874     6.380002021789551        1.0                      0.9590129852294922       1.3716440200805664       -1.6526870727539062      0.9531742334365845       0.7929369211196899       0.3643248975276947       0.8998523354530334       0.13106797635555267      0.03447914123535156      1.2393617630004883       0.5859104990959167       0.4302145838737488       0.3044406473636627       0.5175637006759644       0.16292208433151245      0.5713425278663635       1.2507014274597168       0.41655436158180237      1.527711272239685        0.33009305596351624      0.2858789265155792       1.0                      
