Iteration                Wall_Time                Samples                  Samples_Per_Second       Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Disc_Loss                Disc_Grad_Penalty        Disc_Logit_Loss          Disc_Pos_Acc             Disc_Neg_Acc             Disc_Pos_Logit           Disc_Neg_Logit           Adv_Mean                 Adv_Std                  Disc_Reward_Mean         Disc_Reward_Std          Root_Pos_Err             Root_Rot_Err             Body_Pos_Err             Body_Rot_Err             Dof_Vel_Err              Root_Vel_Err             Root_Ang_Vel_Err         Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
0                        0.0018755870395236545    131072                   19411.996415871858       0.0                      10.460946083068848       5710                     0.0                      10.552260398864746       10247                    152.938232421875         -0.003911294043064117    0.04936523362994194      1.0004017353057861       0.0                      4.948336601257324        1.440706491470337        165.79220581054688       0.8125                   0.9527645111083984       0.004092678427696228     -4.807929515838623       13.890493392944336       9.200859069824219        2.9408133029937744       2.4889652729034424       0.15415167808532715      0.4992048740386963       0.19370536506175995      0.7968106269836426       2.426640033721924        0.5532136559486389       1.67917001247406         0.39332231879234314      0.3166980743408203       1.0                      
100                      0.06669615467389424      13238272                 55135.079312407805       0.0                      15.623675346374512       5846                     0.0                      13.87833309173584        942031                   0.04946766421198845      -0.00782950222492218     0.1028594970703125       0.9996606707572937       0.0                      1.6135050058364868       0.19807934761047363      105.61669158935547       1.0                      1.0                      1.2412357330322266       -2.8851590156555176      0.0012205105740576982    0.22462083399295807      0.16877566277980804      0.1117568165063858       0.12208805233240128      0.328524649143219        0.1506882905960083       0.6341966986656189       2.0739293098449707       0.43863794207572937      1.2032347917556763       0.3836183249950409       0.30060896277427673      1.0                      
200                      0.13130284633901385      26345472                 55735.171557299465       0.0                      22.192434310913086       4812                     0.0                      19.067991256713867       684944                   0.5489785075187683       -0.007497736252844334    0.11914978176355362      0.9993707537651062       0.0                      1.1280314922332764       0.13869543373584747      69.6285629272461         1.0                      0.9955368041992188       1.6853200197219849       -2.3941149711608887      -0.0017858620267361403   0.743896484375           0.35060906410217285      0.31863489747047424      0.15732699632644653      0.26887837052345276      0.1177058145403862       0.453351229429245        1.7186787128448486       0.4041232168674469       0.9448370337486267       0.3770157992839813       0.3092750012874603       1.0                      
300                      0.19589509295092689      39452672                 55943.59404551742        0.0                      29.958494186401367       5541                     0.0                      26.28700065612793        496223                   1.3160287141799927       -0.0054437341168522835   0.12978516519069672      0.9994166493415833       0.0                      0.8395690321922302       0.09418586641550064      47.18524932861328        1.0                      0.9851646423339844       1.689503788948059        -2.085125207901001       0.0034065565560013056    1.1507223844528198       0.4401725232601166       0.3779619038105011       0.16954751312732697      0.26222142577171326      0.10402080416679382      0.3985365629196167       1.6515828371047974       0.33569854497909546      0.9546737670898438       0.3735008239746094       0.3211936950683594       1.0                      
400                      0.26071051405535806      52559872                 56000.673763944775       0.0                      33.169742584228516       5479                     0.0                      31.622034072875977       412168                   1.0074069499969482       -0.006434374954551458    0.13479462265968323      0.9998875856399536       0.0                      0.6773388981819153       0.07654403895139694      32.74835968017578        1.0                      0.9848518371582031       1.5908643007278442       -2.0062413215637207      0.012252789922058582     1.005467176437378        0.45740389823913574      0.39139530062675476      0.15850937366485596      0.24631023406982422      0.0994543731212616       0.36951640248298645      1.6035553216934204       0.3165855407714844       0.9164144992828369       0.37216874957084656      0.3305804133415222       1.0                      
500                      0.3258593451976776       65667072                 55977.68976755231        0.0                      36.53445053100586        5817                     0.0                      35.62709426879883        365567                   0.8836261630058289       -0.00667613698169589     0.1349136382341385       0.9999373555183411       1.4844065976404863e-09   0.5695682168006897       0.06483161449432373      23.06925392150879        1.0                      0.9852733612060547       1.5162080526351929       -1.9881629943847656      0.0011335599701851606    0.9430103302001953       0.46620017290115356      0.407942533493042        0.14937178790569305      0.23349076509475708      0.0939381867647171       0.3462655246257782       1.5837881565093994       0.32429400086402893      0.8947315812110901       0.3717004358768463       0.33733007311820984      1.0                      
600                      0.3933765556414922       78774272                 55625.435497900835       0.0                      261.7179870605469        4170                     0.0                      56.72246551513672        224633                   9.292442321777344        -0.0034530225675553083   0.1278533935546875       1.0000615119934082       6.284374194365228e-06    0.4758140742778778       0.05904475599527359      16.445451736450195       1.0                      0.9912700653076172       1.5607109069824219       -2.006260395050049       0.18837767839431763      3.0624499320983887       0.3603913187980652       0.29475247859954834      0.11284854263067245      0.19893430173397064      0.07579285651445389      0.2920198142528534       1.531480073928833        0.2397516369819641       0.7543277740478516       0.3709927201271057       0.3432857096195221       1.0                      
700                      0.46022650016678707      91881472                 55456.67427204139        0.0                      274.62640380859375       4122                     0.0                      214.47467041015625       58327                    5.20215368270874         -0.01687389798462391     0.13637696206569672      0.9997978210449219       6.676365046587307e-06    0.43843135237693787      0.058761730790138245     11.900529861450195       1.0                      0.9951553344726562       1.5523602962493896       -1.8495367765426636      0.08032675087451935      2.326488971710205        0.4605180025100708       0.3413451313972473       0.08119500428438187      0.12070133537054062      0.05742218345403671      0.23484043776988983      1.5117803812026978       0.23704379796981812      0.6601816415786743       0.37042057514190674      0.3482475280761719       1.0                      
800                      0.5260838057597478       104988672                55435.12208645786        0.0                      277.4988098144531        4120                     0.0                      265.3898010253906        46917                    2.150336265563965        -0.011858019046485424    0.13495789468288422      1.0000184774398804       6.096752258599736e-06    0.42298176884651184      0.05877555534243584      8.740960121154785        1.0                      0.9968624114990234       1.481707215309143        -1.7077240943908691      0.008624747395515442     1.4318146705627441       0.5129081010818481       0.35706037282943726      0.07117851823568344      0.08879538625478745      0.048125121742486954     0.20495152473449707      1.4253453016281128       0.22651249170303345      0.6111871600151062       0.37026098370552063      0.3505903482437134       1.0                      
900                      0.5890957582659192       118095872                55686.03818410267        0.0                      279.6909484863281        4119                     0.0                      272.72259521484375       45511                    1.295975923538208        -0.014033998362720013    0.135234072804451        0.9994679689407349       5.457839506561868e-06    0.42543530464172363      0.060135506093502045     6.511959552764893        1.0                      0.9978904724121094       1.377046823501587        -1.5590604543685913      0.011670504696667194     1.142640233039856        0.5494861602783203       0.35083624720573425      0.06207074224948883      0.06957797706127167      0.04208165034651756      0.18020400404930115      1.3573414087295532       0.21681615710258484      0.5660213232040405       0.37026098370552063      0.3505903482437134       1.0                      
1000                     0.6503394994470808       131203072                56040.41859484715        0.0                      282.68603515625          4109                     0.0                      276.8680725097656        44736                    1.2396678924560547       -0.009436937980353832    0.14495240151882172      1.0002318620681763       6.235649379959796e-06    0.42545172572135925      0.05958859995007515      4.920585632324219        1.0                      0.9984970092773438       1.294880747795105        -1.4601118564605713      0.02207290753722191      1.1255810260772705       0.5763875842094421       0.34518149495124817      0.05816451832652092      0.06048428639769554      0.03814191743731499      0.1698193997144699       1.294048547744751        0.20907273888587952      0.5347167253494263       0.37026098370552063      0.3505903482437134       1.0                      
1100                     0.7110544876919852       144310272                56375.689009125854       0.0                      282.0884704589844        4115                     0.0                      279.1080017089844        44352                    1.1521025896072388       -0.010888342745602131    0.154255673289299        0.9994885325431824       1.2952099496033043e-05   0.427695095539093        0.059572286903858185     3.776681661605835        1.0                      0.9991664886474609       1.2297406196594238       -1.3817193508148193      0.01105068251490593      1.1178205013275146       0.5951767563819885       0.33559295535087585      0.053347617387771606     0.05414869263768196      0.0357559397816658       0.1602364182472229       1.2533860206604004       0.20440180599689484      0.5027153491973877       0.37026098370552063      0.3505903482437134       1.0                      
1200                     0.7714814080794652       157417472                56679.36401009357        0.0                      285.6382751464844        4105                     0.0                      281.0989990234375        43992                    0.5689403414726257       0.002204206073656678     0.16108551621437073      0.9994889497756958       2.328448863408994e-05    0.42934471368789673      0.05935085937380791      2.949784755706787        1.0                      0.9994907379150391       1.1799581050872803       -1.324754238128662       0.048292532563209534     0.7505462765693665       0.6087387800216675       0.32541170716285706      0.05320153385400772      0.053775135427713394     0.03399185091257095      0.15450234711170197      1.2108412981033325       0.19801317155361176      0.4769176244735718       0.37026098370552063      0.3505903482437134       1.0                      
1300                     0.8308531867133246       170524672                57011.23279290997        0.0                      283.59716796875          4106                     0.0                      282.7059631347656        43710                    0.46265092492103577      -0.005675779655575752    0.1898147612810135       0.9998791813850403       3.6404522688826546e-05   0.43139535188674927      0.059142883867025375     2.348367691040039        1.0                      0.9996566772460938       1.1417653560638428       -1.2817471027374268      0.0372055247426033       0.683262288570404        0.622066855430603        0.3212487995624542       0.046838510781526566     0.04865815490484238      0.03228835389018059      0.14876826107501984      1.1821317672729492       0.1869310438632965       0.4640445113182068       0.37026098370552063      0.3505903482437134       1.0                      
1400                     0.8897897316349878       183631872                57326.86220103329        0.0                      286.05438232421875       4100                     0.0                      283.0596008300781        43655                    0.6659673452377319       -0.008456137962639332    0.1622268706560135       0.9999005198478699       3.0024253646843135e-05   0.43240976333618164      0.05855915695428848      1.9087162017822266       1.0                      0.9997539520263672       1.1123894453048706       -1.2478803396224976      0.013908738270401955     0.8068064451217651       0.6323969960212708       0.31586953997612         0.05438239127397537      0.050932787358760834     0.03102630190551281      0.1431577205657959       1.1538513898849487       0.1879020482301712       0.46591705083847046      0.37026098370552063      0.3505903482437134       1.0                      
1500                     0.9480330053302977       196739072                57645.40043959976        0.0                      285.64801025390625       4108                     0.0                      283.3223876953125        43608                    0.6764712929725647       -0.008087499998509884    0.16463012993335724      0.9996498227119446       2.7429467081674375e-05   0.4334660768508911       0.05839116498827934      1.5859363079071045       1.0                      0.9997482299804688       1.091243028640747        -1.223343014717102       0.03805329278111458      0.7649948596954346       0.6389964818954468       0.31208232045173645      0.04953937977552414      0.04530864581465721      0.029952198266983032     0.13863308727741241      1.1319503784179688       0.18650491535663605      0.45927441120147705      0.37026098370552063      0.3505903482437134       1.0                      
1600                     1.0060706845257017       209846272                57938.902313401006       0.0                      286.5537414550781        4103                     0.0                      284.69049072265625       43391                    0.3147646188735962       0.0019720420241355896    0.2006485015153885       0.9995841383934021       4.4222768337931484e-05   0.43637946248054504      0.058884795755147934     1.345802903175354        1.0                      0.9998455047607422       1.0726335048675537       -1.2009263038635254      -0.017305850982666016    0.5602589845657349       0.6448108553886414       0.30848994851112366      0.050707727670669556     0.0460205040872097       0.029067950323224068     0.13546043634414673      1.106932282447815        0.1843191385269165       0.4457041025161743       0.37026098370552063      0.3505903482437134       1.0                      
1700                     1.0640009197261597       222953472                58206.26547572836        0.0                      287.992431640625         4103                     0.0                      285.2633361816406        43308                    0.4715350270271301       -0.004522418603301048    0.19527892768383026      1.0002988576889038       5.4564763559028506e-05   0.43833762407302856      0.058846376836299896     1.1657564640045166       1.0                      0.9998188018798828       1.0566534996032715       -1.1813873052597046      0.0062920269556343555    0.6780211925506592       0.6506814956665039       0.3052992820739746       0.049692701548337936     0.04519122466444969      0.02958209626376629      0.1365620493888855       1.0860364437103271       0.1793312281370163       0.43906882405281067      0.37026098370552063      0.3505903482437134       1.0                      
1800                     1.1216992598109776       236060672                58458.101238239906       0.0                      292.58648681640625       4104                     0.0                      287.7846374511719        42892                    0.3991742432117462       -0.0028019507881253958   0.2026931792497635       0.9999834299087524       4.513404564931989e-05    0.4398152828216553       0.05881171301007271      1.028330683708191        1.0                      0.9998188018798828       1.0430904626846313       -1.1655571460723877      0.016289085149765015     0.5923795104026794       0.655438244342804        0.2989828586578369       0.05220625549554825      0.043404750525951385     0.02753516659140587      0.13026700913906097      1.0644649267196655       0.1778939664363861       0.4238150715827942       0.37026098370552063      0.3505903482437134       1.0                      
