Iteration                Wall_Time                Samples                  Samples_Per_Second       Resume_Count             Peak_GPU_Memory_MB       Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Critic_Grad_Norm         Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Actor_Grad_Norm          Policy_Kl                Action_Mean_Update_Rms   Action_Mean_Bound_Frac   Actor_First_Layer_Grad_NormDisc_Loss                Disc_Cls_Loss            Disc_Grad_Penalty        Disc_Neg_Grad_Penalty    Disc_Pos_Grad_Penalty    Disc_Logit_Loss          Disc_Logit_Reg_Loss      Disc_Pos_Acc             Disc_Neg_Acc             Disc_Pos_Logit           Disc_Neg_Logit           Disc_Rms_Radius_Mean     Disc_Rms_Radius_P99      Disc_Gap_Mean            Disc_Gap_P99             Disc_Gap_Max             Disc_Lip_Violation_Max   Disc_Lip_Violation_Frac  Disc_Gain                Disc_Lipschitz_Bound     Disc_Group_Width         Disc_Group_Total_Width   Disc_Param_Grad_Norm     Adv_Mean                 Adv_Std                  Disc_Reward_Mean         Disc_Reward_Std          Root_Pos_Err             Root_Rot_Err             Body_Pos_Err             Body_Rot_Err             Dof_Vel_Err              Root_Vel_Err             Root_Ang_Vel_Err         Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
800                      0.6914741773737801       104988672                42943.324997180185       1                        2517.90234375            0.0                      62.888675689697266       4096                     0.0                      70.91146850585938        181710                   7.973598957061768        112.1334228515625        -0.008905365131795406    0.10950622707605362      0.9995975494384766       2.630221374033681e-09    6.974859714508057        0.010314962826669216     0.0013571892632171512    0.0                      2.1141557693481445       0.5121145844459534       0.41540277004241943      0.0                      0.0                      0.0                      9.671187400817871        0.0967118889093399       1.0                      0.9333534240722656       0.7036957740783691       -0.8579938411712646      0.8621677160263062       2.544632911682129        1.5616897344589233       4.827871799468994        7.106504440307617        0.0                      0.0                      3.1242358684539795       0.23822073638439178      146.0                    1022.0                   2.3711085319519043       -0.030290702357888222    2.8403611183166504       0.880837082862854        0.412837415933609        0.2551651895046234       0.2060430496931076       0.06532438844442368      0.2715652287006378       0.9773464202880859       0.38587185740470886      0.6247252821922302       0.34735628962516785      0.27542683482170105      1.0                      
900                      0.7769068739149305       118095872                42617.19104855706        1                        2518.0322265625          0.0                      62.99951171875           4096                     0.0                      77.87299346923828        165165                   8.287948608398438        68.62983703613281        -0.010121764615178108    0.1231231689453125       0.999531090259552        1.0559257912490239e-09   7.80108642578125         0.009673384949564934     0.0013143031392246485    0.0                      3.0260062217712402       0.5151182413101196       0.4176637530326843       0.0                      0.0                      0.0                      9.745445251464844        0.09745442867279053      1.0                      0.9547996520996094       0.6901406049728394       -0.837204098701477       0.8227936029434204       2.4553933143615723       1.5273447036743164       4.762951374053955        7.199835300445557        0.0                      0.0                      3.1362807750701904       0.23913916945457458      146.0                    1022.0                   2.3869779109954834       0.1416964828968048       2.9148824214935303       0.8721432685852051       0.39068862795829773      0.19490684568881989      0.21166665852069855      0.06756710261106491      0.2833021283149719       0.9751905798912048       0.35384228825569153      0.637270987033844        0.34735628962516785      0.27542683482170105      1.0                      
1000                     0.862564952439732        131203072                42505.06158126184        1                        2518.0322265625          0.0                      63.89794921875           4096                     0.0                      84.45247650146484        152113                   8.587729454040527        83.67693328857422        -0.007830752991139889    0.12541961669921875      0.9999146461486816       2.3700495432876778e-07   7.438685894012451        0.010246007703244686     0.0013526458060368896    0.0                      2.9327218532562256       0.5196653008460999       0.4217846691608429       0.0                      0.0                      0.0                      9.788066864013672        0.09788067638874054      1.0                      0.9689521789550781       0.6771686673164368       -0.8053029775619507      0.7827673554420471       2.349891424179077        1.4824714660644531       4.62809944152832         7.2943196296691895       0.0                      0.0                      3.1432628631591797       0.23967154324054718      146.0                    1022.0                   2.427523136138916        0.030691443011164665     2.9837758541107178       0.8833127617835999       0.3737849295139313       0.18510474264621735      0.11414630711078644      0.05209030956029892      0.20380815863609314      0.9574453234672546       0.39050665497779846      0.5732861161231995       0.34735628962516785      0.27542683482170105      1.0                      
1100                     0.9481891443332037       144310272                42521.8843660542         1                        2518.0322265625          0.0                      64.123779296875          4096                     0.0                      90.8055191040039         141233                   9.645495414733887        99.91072082519531        -0.015411359257996082    0.12633514404296875      0.9998733401298523       2.24826933958866e-07     7.973203182220459        0.012412814423441887     0.001488818321377039     1.743861685099546e-05    3.14567232131958         0.5221072435379028       0.42370083928108215      0.0                      0.0                      0.0                      9.84065055847168         0.09840650111436844      1.0                      0.9814319610595703       0.6658943891525269       -0.782487690448761       0.7480903267860413       2.181016683578491        1.448382019996643        4.368553638458252        7.102095127105713        0.0                      0.0                      3.151808977127075        0.24032317101955414      146.0                    1022.0                   2.4528419971466064       0.06856107711791992      3.1631569862365723       0.8801844120025635       0.35088402032852173      0.14849677681922913      0.1621731072664261       0.05659865587949753      0.24560150504112244      0.8960453271865845       0.3057890236377716       0.5904860496520996       0.34735628962516785      0.27542683482170105      1.0                      
1200                     1.03394422352314         157417472                42456.97859683747        1                        2518.0322265625          0.0                      69.9755859375            4096                     0.0                      96.95782470703125        132131                   9.222152709960938        105.24250793457031       -0.018359949812293053    0.12983857095241547      0.9997658729553223       7.309181455639191e-07    7.725925445556641        0.01050211489200592      0.001369445351883769     2.615792618598789e-05    3.5277531147003174       0.5280556082725525       0.4289034903049469       0.0                      0.0                      0.0                      9.915216445922852        0.09915216267108917      1.0                      0.9865150451660156       0.6543359160423279       -0.7271080613136292      0.7009335160255432       1.9369289875030518       1.3814440965652466       3.986389398574829        7.244682788848877        0.0                      0.0                      3.1638026237487793       0.24123771488666534      146.0                    1022.0                   2.4716925621032715       -0.056605804711580276    3.089905261993408        0.9004664421081543       0.32093602418899536      0.18395955860614777      0.12487227469682693      0.05663745105266571      0.2040557712316513       0.900962769985199        0.3333521783351898       0.5141856074333191       0.34735628962516785      0.27542683482170105      1.0                      
1300                     1.1207544227441153       170524672                41940.94109703803        1                        2518.0322265625          0.0                      69.93359375              4096                     0.0                      101.41973876953125       126243                   7.779415130615234        107.46974182128906       -0.026925746351480484    0.136097714304924        1.0002986192703247       9.191900289806654e-07    7.405850410461426        0.010655079036951065     0.0013793837279081345    4.3596541217993945e-05   3.355982780456543        0.5321592092514038       0.4325905442237854       0.0                      0.0                      0.0                      9.956869125366211        0.0995686873793602       1.0                      0.9911251068115234       0.6404305100440979       -0.6992679834365845      0.6692579984664917       1.795191764831543        1.3396985530853271       3.752955675125122        6.988455295562744        0.0                      0.0                      3.170576810836792        0.2417542040348053       146.0                    1022.0                   2.4765641689300537       -0.12589135766029358     2.8289692401885986       0.9042497873306274       0.3042348027229309       0.1588798463344574       0.13076938688755035      0.056495923548936844     0.21059559285640717      0.878398597240448        0.32639986276626587      0.5019408464431763       0.34735628962516785      0.27542683482170105      1.0                      
1400                     1.210420237912072        183631872                40605.236972685176       1                        2518.0322265625          0.0                      64.025146484375          4096                     0.0                      103.8814468383789        123118                   5.757106781005859        75.50567626953125        -0.022670749574899673    0.12926025688648224      0.9999726414680481       1.1204873544556904e-06   7.683175086975098        0.010170410387217999     0.0013476456515491009    5.231585237197578e-05    3.1280264854431152       0.5369025468826294       0.4373891353607178       0.0                      0.0                      0.0                      9.951335906982422        0.09951337426900864      1.0                      0.9939556121826172       0.6253241300582886       -0.6671865582466125      0.6358112096786499       1.678044319152832        1.292510747909546        3.550715446472168        7.356451034545898        0.0                      0.0                      3.169919013977051        0.24170394241809845      146.0                    1022.0                   2.478755474090576        -0.024055467918515205    2.4552130699157715       0.911064088344574        0.28251388669013977      0.12536688148975372      0.13925625383853912      0.05347706750035286      0.21548974514007568      0.8799045085906982       0.3223066031932831       0.5523861646652222       0.34735628962516785      0.27542683482170105      1.0                      
1500                     1.2992100286483765       196739072                41005.853917984066       1                        2518.0322265625          0.0                      70.71240234375           4096                     0.0                      104.91552734375          121971                   5.211629867553711        66.87875366210938        -0.026643458753824234    0.14189758896827698      0.9998230338096619       1.6355124898836948e-06   7.7324981689453125       0.010257111862301826     0.0013533771270886064    4.3596541217993945e-05   3.2853446006774902       0.5421953201293945       0.44330570101737976      0.0                      0.0                      0.0                      9.888952255249023        0.09888952970504761      1.0                      0.9957523345947266       0.6078624129295349       -0.6398003101348877      0.6090875864028931       1.6250584125518799       1.2476626634597778       3.419675827026367        8.085959434509277        0.0                      0.0                      3.1602954864501953       0.24097031354904175      146.0                    1022.0                   2.454545259475708        -0.028575457632541656    2.363833427429199        0.9220172166824341       0.27046999335289         0.18131263554096222      0.10107570141553879      0.046349503099918365     0.17429985105991364      0.8658002614974976       0.3293646275997162       0.4732007086277008       0.34735628962516785      0.27542683482170105      1.0                      
1600                     1.3922374123334884       209846272                39137.95215345215        1                        2518.0322265625          0.0                      71.041259765625          4096                     0.0                      105.794677734375         120929                   4.781181335449219        75.8238754272461         -0.02351047657430172     0.13766632974147797      0.9998334050178528       6.033936301719223e-07    7.8196868896484375       0.01012004166841507      0.0013443039497360587    2.615792618598789e-05    3.8017733097076416       0.5464292764663696       0.4484284222126007       0.0                      0.0                      0.0                      9.80008316040039         0.09800083935260773      1.0                      0.9971046447753906       0.5903936624526978       -0.6171073317527771      0.5858602523803711       1.5490305423736572       1.20750093460083         3.2446353435516357       8.134077072143555        0.0                      0.0                      3.1464478969573975       0.2399144023656845       146.0                    1022.0                   2.4348154067993164       0.02523007243871689      2.2288808822631836       0.9271270036697388       0.25353750586509705      0.17398196458816528      0.11807483434677124      0.04675254598259926      0.17410270869731903      0.8535779714584351       0.31681713461875916      0.483517587184906        0.34735628962516785      0.27542683482170105      1.0                      
1700                     1.4826135455237495       222953472                40286.12738472281        1                        2518.25146484375         0.0                      71.958740234375          4096                     0.0                      106.54460144042969       120096                   3.4635865688323975       60.95060348510742        -0.0200039129704237      0.14037322998046875      1.0000817775726318       1.6021573401303613e-06   7.50508451461792         0.010749803856015205     0.0013855004217475653    2.615792618598789e-05    2.6455893516540527       0.5500192046165466       0.45295238494873047      0.0                      0.0                      0.0                      9.70667552947998         0.09706675261259079      1.0                      0.9980411529541016       0.574852466583252        -0.598179817199707       0.5653582811355591       1.4667071104049683       1.173032283782959        3.05039644241333         7.208593845367432        0.0                      0.0                      3.1318135261535645       0.23879854381084442      146.0                    1022.0                   2.4136459827423096       0.03494611382484436      1.9090204238891602       0.9304043054580688       0.24039539694786072      0.17702965438365936      0.08451743423938751      0.04396975412964821      0.15891487896442413      0.8597485423088074       0.3220009207725525       0.5015685558319092       0.34735628962516785      0.27542683482170105      1.0                      
1800                     1.5702103788985147       236060672                41564.30735185799        1                        2519.068359375           0.0                      74.01195526123047        4096                     0.0                      107.56138610839844       118869                   3.337270498275757        66.64055633544922        -0.022336872294545174    0.15244904160499573      0.9996779561042786       2.5812034891714575e-06   7.880810737609863        0.012321090325713158     0.001483304426074028     5.231585237197578e-05    3.389613628387451        0.5531174540519714       0.4568486511707306       0.0                      0.0                      0.0                      9.62688159942627         0.09626884758472443      1.0                      0.9984645843505859       0.5622588992118835       -0.5821581482887268      0.5477319955825806       1.366063117980957        1.1444172859191895       2.8705241680145264       7.3234429359436035       0.0                      0.0                      3.1192965507507324       0.23784413933753967      146.0                    1022.0                   2.3935365676879883       0.02491772547364235      1.91416335105896         0.9354321956634521       0.23025502264499664      0.1555408090353012       0.11489050835371017      0.06265538185834885      0.2170909196138382       0.8468359112739563       0.24382270872592926      0.5241644382476807       0.34735628962516785      0.27542683482170105      1.0                      
1900                     1.6605130626095665       249167872                40318.86305103541        1                        2519.068359375           0.0                      297.2121887207031        4100                     0.0                      107.4327621459961        119065                   3.052330732345581        64.78033447265625        -0.010873152874410152    0.14214935898780823      0.9999357461929321       5.318978310242528e-06    7.548411846160889        0.009824459441006184     0.0013245276641100645    6.975446740398183e-05    2.8257265090942383       0.5559526681900024       0.46042346954345703      0.0                      0.0                      0.0                      9.55291748046875         0.09552919864654541      1.0                      0.9986896514892578       0.5520041584968567       -0.5681480169296265      0.5332252383232117       1.3120449781417847       1.1201521158218384       2.7532079219818115       7.255757808685303        0.0                      0.0                      3.1076669692993164       0.23695741593837738      146.0                    1022.0                   2.3698153495788574       -0.015349427238106728    1.7694250345230103       0.9443064332008362       0.22167018055915833      0.12467716634273529      0.07782937586307526      0.03770551458001137      0.1431225836277008       0.6297261714935303       0.15837131440639496      0.3790639638900757       0.34735628962516785      0.27542683482170105      1.0                      
1999                     1.7524387795395322       262144000                39210.91991504236        1                        2519.068359375           0.0                      298.932373046875         4096                     0.0                      115.83531951904297       108902                   12.703352928161621       99.39124298095703        -0.014090940356254578    0.14503173530101776      1.0000470876693726       5.478373623191146e-06    7.364730358123779        0.01205141469836235      0.0014669852098450065    5.231585237197578e-05    3.4667110443115234       0.5551974773406982       0.4598693251609802       0.0                      0.0                      0.0                      9.532828330993652        0.09532828629016876      1.0                      0.9989299774169922       0.5486602783203125       -0.5728198885917664      0.5301960706710815       1.3153387308120728       1.1214799880981445       2.7355480194091797       7.067685127258301        0.0                      0.0                      3.1046557426452637       0.236727774143219        146.0                    1022.0                   2.321469306945801        -0.020943989977240562    3.6460623741149902       0.9319733381271362       0.21943096816539764      0.11361239105463028      0.0719231590628624       0.03733603656291962      0.1499723196029663       0.6475477814674377       0.17309415340423584      0.378478080034256        0.34735628962516785      0.27542683482170105      1.0                      
