Iteration                Wall_Time                Samples                  Samples_Per_Second       Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Disc_Loss                Disc_Grad_Penalty        Disc_Logit_Loss          Disc_Aux_Loss            Disc_Pos_Acc             Disc_Neg_Acc             Disc_Pos_Logit           Disc_Neg_Logit           Disc_State_Neg_Logit     Disc_Motion_Neg_Logit    Disc_Rot_Neg_Logit       Disc_Rot_Pos_Logit       Disc_Rot_Neg_Acc         Disc_Rot_Pos_Acc         Adv_Mean                 Adv_Std                  Disc_Reward_Mean         Disc_Reward_Std          Root_Pos_Err             Root_Rot_Err             Body_Pos_Err             Body_Rot_Err             Dof_Vel_Err              Root_Vel_Err             Root_Ang_Vel_Err         Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
0                        0.0028716437684165107    131072                   12678.762348355476       0.0                      60.0                     4096                     0.0                      0.0                      0                        379.21307373046875       -0.0022367907222360373   0.01980896107852459      1.000445008277893        0.0                      4.771338939666748        0.43650421500205994      262.31634521484375       1.6473212242126465       0.625                    0.8809604644775391       0.0007404955103993416    -3.476133346557617       -8.770600318908691       -1.0269105434417725      -0.630887508392334       0.001195730408653617     0.9772701263427734       0.65625                  26.528308868408203       11.731731414794922       2.8384957313537598       0.9461256861686707       0.5582870244979858       1.5690996646881104       0.45567259192466736      1.6205554008483887       1.7282705307006836       0.6198843121528625       1.772459626197815        0.3404446542263031       0.26750457286834717      1.0                      
100                      0.10390308856964112      13238272                 35391.61182213623        0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   0.03254858776926994      -0.007382682058960199    0.10381164401769638      0.9999929666519165       0.0                      2.5690464973449707       0.11202646046876907      185.05096435546875       0.647756814956665        1.0                      1.0                      1.0408480167388916       -3.658026695251465       -4.882789134979248       -4.858767509460449       -1.2325221300125122      0.7899328470230103       0.8716392517089844       1.0                      0.0022105351090431213    0.18204107880592346      0.09561142325401306      0.12078475952148438      0.5721545815467834       1.552480697631836        0.45185941457748413      1.6243036985397339       1.6968199014663696       0.618984580039978        1.7657243013381958       0.3293501138687134       0.25123095512390137      1.0                      
200                      0.20529052721129523      26345472                 35647.95105784119        0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   0.0995231419801712       -0.0032796727027744055   0.13763122260570526      0.9992912411689758       0.0                      1.920712947845459        0.10151636600494385      131.6836700439453        0.5541089177131653       1.0                      0.999053955078125        1.5625526905059814       -3.5481603145599365      -4.876428604125977       -4.83099889755249        -0.9370526075363159      1.0396440029144287       0.7663669586181641       1.0                      0.023946896195411682     0.3195304572582245       0.16130097210407257      0.2323324978351593       0.5693445205688477       1.4712871313095093       0.4324556887149811       1.5514508485794067       1.6783288717269897       0.6277803182601929       1.8250271081924438       0.329385370016098        0.2558300197124481       1.0                      
300                      0.3072389996051788       39452672                 35669.54575961596        0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   0.29933834075927734      -0.0024196074809879065   0.1380462646484375       0.9994488954544067       0.0                      1.5185449123382568       0.09674777090549469      93.99520111083984        0.5431447625160217       1.0                      0.9900112152099609       1.8558478355407715       -3.4676833152770996      -4.859241962432861       -4.695084095001221       -0.8487230539321899      1.080007791519165        0.7183494567871094       1.0                      0.12248684465885162      0.5747859477996826       0.23150750994682312      0.35631024837493896      0.5826258659362793       1.3756777048110962       0.416952908039093        1.5003478527069092       1.6552149057388306       0.6270302534103394       1.8557243347167969       0.329693078994751        0.26171231269836426      1.0                      
400                      0.40723089476426444      52559872                 35851.8094578654         0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   0.5730059146881104       -0.0025188929866999388   0.15318451821804047      0.9990826845169067       0.0                      1.253696322441101        0.09131448715925217      67.32486724853516        0.5584880113601685       1.0                      0.9648208618164062       2.0099034309387207       -3.4425182342529297      -4.87461519241333        -4.565723419189453       -0.8872146010398865      1.0475852489471436       0.7111587524414062       1.0                      0.17886826395988464      0.8023795485496521       0.3089529275894165       0.4927029311656952       0.5505351424217224       1.3468084335327148       0.4086070954799652       1.4740447998046875       1.6822376251220703       0.6239808797836304       1.883391261100769        0.33047133684158325      0.2685139775276184       1.0                      
500                      0.5068880805704329       65667072                 35985.95830623154        0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   0.7539222240447998       -0.003684231312945485    0.1436767578125          0.9990472197532654       2.6308205391956108e-08   1.0679103136062622       0.08402920514345169      48.5551643371582         0.5782273411750793       1.0                      0.9461212158203125       2.072489023208618        -3.42095947265625        -4.852662563323975       -4.489814281463623       -0.9204010367393494      0.9979348182678223       0.7132472991943359       1.0                      0.12605437636375427      0.9159923791885376       0.3513050675392151       0.552603542804718        0.5329141020774841       1.323941707611084        0.39615869522094727      1.4405303001403809       1.679785132408142        0.6330273747444153       1.9133498668670654       0.33070722222328186      0.27620065212249756      1.0                      
600                      0.6052637080351512       78774272                 36152.41081157211        0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   0.895465612411499        -0.00763540668413043     0.15121307969093323      0.9991175532341003       5.155900453246431e-07    0.9380321502685547       0.07861433923244476      35.374637603759766       0.592544436454773        1.0                      0.9385013580322266       2.086777448654175        -3.3747427463531494      -4.786117076873779       -4.400030612945557       -0.9380792379379272      0.9516878724098206       0.7079505920410156       1.0                      0.09379205107688904      0.9590761065483093       0.37596166133880615      0.5617571473121643       0.5049996376037598       1.326732873916626        0.38190945982933044      1.395913004875183        1.5753636360168457       0.6184633374214172       1.8003556728363037       0.33044758439064026      0.2820190489292145       1.0                      
700                      0.704328385591507        91881472                 36236.83445567336        0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   1.0327039957046509       4.672850627684966e-05    0.14859619736671448      0.9994818568229675       6.304926358779994e-08    0.8669453263282776       0.0797773078083992       26.106868743896484       0.6180582046508789       1.0                      0.9367523193359375       2.0713629722595215       -3.2557263374328613      -4.658687591552734       -4.237639904022217       -0.8708508014678955      0.8996809124946594       0.6788730621337891       1.0                      0.09277086704969406      1.0294469594955444       0.40773725509643555      0.5562130808830261       0.501178503036499        1.2077463865280151       0.34565597772598267      1.245021104812622        1.4068686962127686       0.5860027074813843       1.5768061876296997       0.3303118050098419       0.2861019968986511       1.0                      
800                      0.8023864735497369       104988672                36345.97661022543        0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   1.2393180131912231       0.006298587657511234     0.13662873208522797      0.9990372061729431       0.0                      0.8284689784049988       0.08349577337503433      19.60554313659668        0.6439465880393982       1.0                      0.9439144134521484       2.0227761268615723       -3.130899429321289       -4.472030162811279       -4.111252307891846       -0.8094151020050049      0.8139405250549316       0.6520900726318359       1.0                      0.21169666945934296      1.187827467918396        0.4211629033088684       0.5136725306510925       0.46646347641944885      0.889241099357605        0.26666873693466187      0.9652758836746216       1.2812412977218628       0.5588861703872681       1.376894474029541        0.3303190767765045       0.28826627135276794      1.0                      
900                      0.8897028225660324       118095872                36871.19795155443        0.0                      60.0                     4096                     0.0                      59.999996185302734       217088                   4.849098205566406        -0.006190124433487654    0.14358825981616974      0.9999950528144836       2.8908855309595083e-09   0.851542055606842        0.09671035408973694      15.104827880859375       0.6989707946777344       1.0                      0.9587326049804688       1.9016987085342407       -2.7066702842712402      -3.9325523376464844      -3.5898804664611816      -0.597579836845398       0.6788495182991028       0.6158504486083984       1.0                      0.20287787914276123      2.2616984844207764       0.44927239418029785      0.42656540870666504      0.44761136174201965      0.36601799726486206      0.1273077130317688       0.4544121325016022       1.148983359336853        0.46997493505477905      1.026388168334961        0.3303190767765045       0.28826627135276794      1.0                      
