Iteration                Wall_Time                Samples                  Samples_Per_Second       Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Disc_Loss                Disc_Grad_Penalty        Disc_Logit_Loss          Disc_Pos_Acc             Disc_Neg_Acc             Disc_Pos_Logit           Disc_Neg_Logit           Adv_Mean                 Adv_Std                  Disc_Reward_Mean         Disc_Reward_Std          Root_Pos_Err             Root_Rot_Err             Body_Pos_Err             Body_Rot_Err             Dof_Vel_Err              Root_Vel_Err             Root_Ang_Vel_Err         Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
0                        0.0035783838563495213    65536                    5087.336958594392        0.0                      300.0                    2048                     0.0                      0.0                      0                        2502.091552734375        -0.00404599541798234     0.04188842698931694      1.000738501548767        0.0                      5.018570899963379        1.4793879985809326       152.70082092285156       0.625                    0.8813018798828125       -5.866106948815286e-05   -4.58283805847168        75.04962921142578        31.970643997192383       7.994547367095947        3.288388729095459        2.1556220054626465       1.7006982564926147       0.5021999478340149       1.7843730449676514       1.6903311014175415       0.5591035485267639       1.7167032957077026       0.3407522439956665       0.26749688386917114      1.0                      
100                      0.04640540851487054      6619136                  39621.43525360189        0.0                      300.0                    2048                     0.0                      300.0                    20480                    0.039225030690431595     -0.009259623475372791    0.12020263820886612      0.9991847276687622       0.0                      1.4539592266082764       0.16482120752334595      96.56776428222656        1.0                      1.0                      1.225645899772644        -2.836235284805298       0.03950266167521477      0.19903406500816345      0.11878364533185959      0.0354926697909832       2.03947114944458         1.7265008687973022       0.5056182146072388       1.8302258253097534       1.6562867164611816       0.5757045745849609       1.7832800149917603       0.3305204212665558       0.2286900281906128       1.0                      
200                      0.1017321319050259       13172736                 35967.92148963667        0.0                      300.0                    2048                     0.0                      300.0                    20480                    0.07872364670038223      -0.00901156198233366     0.1416168212890625       0.9992738962173462       0.0                      0.9826641082763672       0.10813640803098679      64.7084732055664         1.0                      1.0                      1.832167148590088        -2.4505064487457275      0.08563636988401413      0.28882163763046265      0.19029901921749115      0.07591088861227036      2.0490453243255615       1.7394741773605347       0.4977717697620392       1.8394122123718262       1.6439467668533325       0.5804998874664307       1.823254942893982        0.3320033848285675       0.23479822278022766      1.0                      
300                      0.16603201687335967      19726336                 33002.89836241208        0.0                      300.0                    2048                     0.0                      300.0                    20480                    0.0713222548365593       -0.010227586142718792    0.15306702256202698      0.9995733499526978       0.0                      0.7292676568031311       0.0794859305024147       44.627933502197266       1.0                      1.0                      1.9852803945541382       -2.1823484897613525      0.09337043762207031      0.27448713779449463      0.26343363523483276      0.11169913411140442      1.8440840244293213       1.7077621221542358       0.48550325632095337      1.7994139194488525       1.6050065755844116       0.5539919137954712       1.8227529525756836       0.3325856626033783       0.24069884419441223      1.0                      
400                      0.2285806738005744       26279936                 31936.13047352859        0.0                      300.0                    2048                     0.0                      300.0                    20480                    0.07705522328615189      -0.008674069307744503    0.13587646186351776      0.9988923072814941       0.0                      0.5918353199958801       0.06940268725156784      31.48415756225586        1.0                      1.0                      1.9450349807739258       -2.0054750442504883      0.09521536529064178      0.30363965034484863      0.3242039084434509       0.13769222795963287      1.6499775648117065       1.6995694637298584       0.4798855483531952       1.766536831855774        1.525110125541687        0.547858476638794        1.7999534606933594       0.3326409161090851       0.2457272708415985       1.0                      
500                      0.2899048904577891       32833536                 31460.06489322961        0.0                      300.0                    2048                     0.0                      300.0                    20480                    0.08183980733156204      -0.011012888513505459    0.17005614936351776      0.9995579123497009       0.0                      0.5037373304367065       0.06573829799890518      22.42066192626953        1.0                      0.9999961853027344       1.8719122409820557       -1.9298452138900757      0.0459064356982708       0.30432963371276855      0.3445993661880493       0.14064303040504456      1.5926679372787476       1.659497857093811        0.4715096950531006       1.7395776510238647       1.4637541770935059       0.5613707304000854       1.7896019220352173       0.3321704864501953       0.2506481111049652       1.0                      
600                      0.35111789762973783      39387136                 31160.106576647708       0.0                      300.0                    2048                     0.0                      300.0                    20480                    0.07748270034790039      -0.012193425558507442    0.16753540933132172      0.9995017051696777       0.0                      0.44790369272232056      0.0645158514380455       16.057945251464844       1.0                      0.9999923706054688       1.806235909461975        -1.8634988069534302      0.059751689434051514     0.2835274934768677       0.36987805366516113      0.1573493331670761       1.603258728981018        1.6123108863830566       0.4647762179374695       1.7152141332626343       1.406760811805725        0.5589259266853333       1.781717300415039        0.3319942057132721       0.25552618503570557      1.0                      
700                      0.41219504177570343      45940736                 30959.41062410849        0.0                      300.0                    2048                     0.0                      300.0                    20480                    0.08029679954051971      -0.00852359738200903     0.17969360947608948      0.9993603825569153       0.0                      0.4082634747028351       0.06300367414951324      11.56617259979248        1.0                      0.9999237060546875       1.7564059495925903       -1.8167177438735962      0.0532255694270134       0.28805434703826904      0.3882356286048889       0.17229855060577393      1.6837892532348633       1.5444977283477783       0.4550032317638397       1.6744601726531982       1.3534603118896484       0.5529323816299438       1.776994228363037        0.3324736952781677       0.2600858807563782       1.0                      
800                      0.47335912260744306      52494336                 30804.856827683154       0.0                      300.0                    2048                     0.0                      300.0                    20480                    0.08643140643835068      -0.008256024681031704    0.20558777451515198      0.9994798898696899       0.0                      0.38442084193229675      0.06247542425990105      8.401053428649902        1.0                      0.9996452331542969       1.7070084810256958       -1.7657517194747925      0.06873910129070282      0.301992803812027        0.4108595550060272       0.18487051129341125      1.761430025100708        1.4880356788635254       0.4465039372444153       1.6360039710998535       1.3115192651748657       0.5605355501174927       1.7763155698776245       0.3333090841770172       0.2645150125026703       1.0                      
900                      0.5345610033141243       59047936                 30683.503552925675       0.0                      300.0                    2048                     0.0                      300.0                    20480                    0.09013877063989639      -0.008375507779419422    0.20172119140625         0.9992679953575134       0.0                      0.36960241198539734      0.06211712211370468      6.165190696716309        1.0                      0.9993362426757812       1.658468246459961        -1.7254767417907715      0.04511652886867523      0.3036705255508423       0.42961958050727844      0.1940010040998459       1.7869404554367065       1.4699571132659912       0.4403131902217865       1.6177783012390137       1.2750892639160156       0.5602917075157166       1.780831217765808        0.3339295983314514       0.2689336836338043       1.0                      
