Iteration                Wall_Time                Samples                  Samples_Per_Second       Raw_Env_Test_Return      Test_Episode_Length      Test_Episodes            Raw_Env_Return           Train_Episode_Length     Train_Episodes           Critic_Loss              Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Disc_Loss                Disc_Grad_Penalty        Disc_Logit_Loss          Disc_Pos_Acc             Disc_Neg_Acc             Disc_Pos_Logit           Disc_Neg_Logit           Adv_Mean                 Adv_Std                  Disc_Reward_Mean         Disc_Reward_Std          Root_Pos_Err             Root_Rot_Err             Body_Pos_Err             Body_Rot_Err             Dof_Vel_Err              Root_Vel_Err             Root_Ang_Vel_Err         Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob
0                        0.0023525672488742405    262144                   30952.474498921474       0.0                      10.149653434753418       8239                     0.0                      10.24575138092041        22718                    413.0134582519531        -0.0035307251382619143   0.040756989270448685     1.0003331899642944       0.0                      4.857828617095947        1.416420817375183        152.71456909179688       0.65625                  0.8961524963378906       0.0026126441080123186    -3.584975004196167       25.198719024658203       15.002799987792969       6.240283012390137        2.9948902130126953       0.14919564127922058      0.16825005412101746      0.11365564167499542      0.5322830080986023       1.4369391202926636       0.5339511036872864       1.0102580785751343       0.3888384699821472       0.18255548179149628      1.0
100                      0.11109128832817078      26476544                 66203.17097979465        0.0                      12.845093727111816       8192                     0.0                      11.603262901306152       2255025                  0.061118241399526596     -0.006957998964935541    0.0979209914803505       0.9995798468589783       0.0                      1.5166747570037842       0.2160508930683136       94.85287475585938        1.0                      0.9999961853027344       1.6518735885620117       -2.6517584323883057      0.0020165706519037485    0.24834010004997253      0.25319698452949524      0.18225210905075073      0.14743615686893463      0.08486924320459366      0.07270485162734985      0.3258063793182373       0.95188969373703         0.42986711859703064      0.6815652847290039       0.3813181221485138       0.18157610297203064      1.0
200                      0.2181263628270891       52690944                 67100.43271998136        0.0                      17.112892150878906       26821                    0.0                      14.874073028564453       1757411                  0.22163206338882446      -0.004146869760006666    0.07161178439855576      0.9997894167900085       0.0                      1.006372094154358        0.1171942800283432       62.99912643432617        1.0                      0.9970264434814453       1.8549038171768188       -2.4598629474639893      0.014671111479401588     0.4730457365512848       0.32050812244415283      0.2821689546108246       0.19868049025535583      0.14214874804019928      0.07784619182348251      0.2634434700012207       0.8566199541091919       0.4655952751636505       0.745911717414856        0.37535515427589417      0.18604548275470734      1.0
300                      0.3250942341486613       78905344                 67420.91617991672        0.0                      21.113115310668945       25903                    0.0                      19.13621711730957        1364703                  0.34244048595428467      -0.0029736885335296392   0.07884674519300461      0.9999778866767883       0.0                      0.7468839287757874       0.08072559535503387      43.39738082885742        1.0                      0.9957294464111328       1.802915096282959        -2.388012170791626       -0.004582757595926523    0.5868395566940308       0.3051948547363281       0.2789347767829895       0.23238076269626617      0.13794511556625366      0.07482441514730453      0.24194477498531342      0.7874274253845215       0.4837719202041626       0.6624062657356262       0.37199848890304565      0.1907108873128891       1.0
400                      0.4331481870015462       105119744                67413.25432070815        0.0                      52.57041549682617        18951                    0.0                      28.513065338134766       911961                   0.7196642160415649       -0.00223201303742826     0.0869041457772255       0.9999051094055176       9.310496373871047e-09    0.5743111968040466       0.06488299369812012      30.384986877441406       1.0                      0.9965972900390625       1.8306909799575806       -2.679779052734375       0.009146388620138168     0.8500453233718872       0.23472607135772705      0.23395009338855743      1.0029133558273315       0.2487221211194992       0.09619911760091782      0.3097132742404938       0.7974320650100708       0.6531466245651245       0.6714536547660828       0.36956965923309326      0.1959056556224823       1.0
500                      0.5419275686475966       131334144                67318.4181378857         0.0                      106.23066711425781       10725                    0.0                      59.361480712890625       434296                   1.21632981300354         -0.007277576718479395    0.09175796806812286      1.000227451324463        4.4967752188540544e-08   0.44686391949653625      0.052643537521362305     21.581607818603516       1.0                      0.9969120025634766       1.9353705644607544       -2.7691965103149414      0.011544274166226387     1.1048917770385742       0.20498085021972656      0.2065247893333435       0.838293194770813        0.11356743425130844      0.058923978358507156     0.21234530210494995      0.7562915086746216       0.4421311616897583       0.5811488628387451       0.36956965923309326      0.1959056556224823       1.0
600                      0.6510202464130189       157548544                67222.923842341          0.0                      289.9737854003906        8203                     0.0                      124.30372619628906       202523                   5.434709548950195        -0.010310939513146877    0.08891677856445312      0.999940037727356        1.1935102520510554e-05   0.3853306770324707       0.05183101072907448      15.57601547241211        1.0                      0.9980764389038086       2.0005321502685547       -2.5334274768829346      0.15911898016929626      2.336113929748535        0.2620347738265991       0.19942229986190796      0.34272366762161255      0.07973289489746094      0.05221227556467056      0.1880880445241928       0.7776954174041748       0.30151963233947754      0.6034286618232727       0.36956965923309326      0.1959056556224823       1.0
700                      0.7579003722137875       183762944                67350.88686277019        0.0                      297.2430114746094        8193                     0.0                      263.646484375            94704                    3.963189125061035        -0.026951510459184647    0.07717438042163849      1.0001624822616577       2.7239677365287207e-05   0.38264578580856323      0.057839468121528625     11.354902267456055       1.0                      0.9996480941772461       1.834897756576538        -2.0768232345581055      0.03243294730782509      1.9936047792434692       0.37772324681282043      0.20644967257976532      0.1502099484205246       0.06952544301748276      0.045564182102680206     0.16535575687885284      0.7173240184783936       0.25663647055625916      0.5391938090324402       0.36956965923309326      0.1959056556224823       1.0
800                      0.8641325967841679       209977344                67497.78936364809        0.0                      300.0                    8192                     0.0                      284.4955749511719        87261                    2.894122838973999        -0.027592411264777184    0.06297760456800461      1.0000640153884888       4.5790395233780146e-05   0.3868826627731323       0.062015801668167114     8.33145809173584         1.0                      0.9999275207519531       1.6594092845916748       -1.7664616107940674      0.01252685859799385      1.7076719999313354       0.41396594047546387      0.18993815779685974      0.07276847213506699      0.06561336666345596      0.038370415568351746     0.13894425332546234      0.6783638596534729       0.25013384222984314      0.5044869184494019       0.36956965923309326      0.1959056556224823       1.0
900                      0.9697398829460144       236191744                67656.09926082645        0.0                      300.0                    8192                     0.0                      290.1826477050781        85282                    2.229806423187256        -0.02550937607884407     0.0673316940665245       0.9999862909317017       3.674914478324354e-05    0.3844839632511139       0.0632767304778099       6.1581597328186035       1.0                      0.9999589920043945       1.5466117858886719       -1.6388752460479736      0.016053078696131706     1.4924207925796509       0.4269290566444397       0.17723160982131958      0.0746174231171608       0.057847194373607635     0.03391294926404953      0.12464260309934616      0.6523633003234863       0.24196116626262665      0.46928414702415466      0.36956965923309326      0.1959056556224823       1.0
